Date of Listing,Date of Listing Approval,Issue Name*2,Code,Market Segment,Outline of Listing Issue*3
"Dec. 29, 2022","Nov. 25, 2022",Sumasapo Inc.,9342,Growth,
"Dec. 28, 2022","Dec. 21, 2022","Chubu Steel Plate Co.,Ltd.",5461,Prime,
"Dec. 27, 2022","Nov. 22, 2022","ELEMENTS,Inc.",5246,Growth,
"Dec. 27, 2022","Nov. 25, 2022","BTM,Inc.",5247,Growth,
"Dec. 26, 2022","Nov. 21, 2022","Alpha Purchase Co.,Ltd.",7115,Standard,
"Dec. 26, 2022","Nov. 21, 2022","DAIWA TSUSHIN Co.,Ltd",7116,Standard,
"Dec. 23, 2022","Dec. 16, 2022","HouseFreedom Co.,Ltd.",8996,Standard,
"Dec. 23, 2022","Nov. 18, 2022","ASO INTERNATIONAL,INC.",9340,Standard,
"Dec. 23, 2022","Nov. 18, 2022","GENOVA,Inc.",9341,Growth,
"Dec. 22, 2022","Nov. 17, 2022","jig.jp co.,ltd.",5244,Growth,
"Dec. 22, 2022","Nov. 17, 2022","COACH A Co.,Ltd.",9339,Standard,
"Dec. 21, 2022","Nov. 17, 2022","St.Cousair CO.,LTD.",2937,Growth,
"Dec. 21, 2022","Nov. 17, 2022","EYEZ,INC.",5242,Growth,
"Dec. 21, 2022","Nov. 17, 2022",note inc.,5243,Growth,
"Dec. 20, 2022","Nov. 15, 2022","monoAI technology Co.,Ltd.",5240,Growth,
"Dec. 20, 2022","Nov. 16, 2022",INFORICH INC.,9338,Growth,
"Dec. 19, 2022","Nov. 14, 2022",toridori Inc.,9337,Growth,
"Dec. 16, 2022","Nov. 11, 2022","Rebase,Inc.",5138,Growth,
"Dec. 16, 2022","Nov. 14, 2022",OpenWork Inc.,5139,Growth,
"Dec. 16, 2022","Nov. 11, 2022","Foodison,Inc.",7114,Growth,
"Dec. 15, 2022","Nov. 10, 2022",SmartDrive inc.,5137,Growth,
"Dec. 14, 2022","Nov. 10, 2022",Skymark Airlines Inc.,9204,Growth,
"Dec. 14, 2022","Nov. 09, 2022","Daiei Kankyo Co.,Ltd.",9336,Prime,
"Dec. 13, 2022","Nov. 08, 2022",property technologies Inc.,5527,Growth,
"Dec. 01, 2022","Oct. 27, 2022",Cyfuse Biomedical K.K.,4892,Growth,
"Nov. 30, 2022","Oct. 25, 2022",Wellplayed Rizest Inc.,9565,Growth,
"Nov. 25, 2022","Oct. 20, 2022","tripla Co.,Ltd.",5136,Growth,
"Nov. 22, 2022","Oct. 18, 2022","TMS Co.,Ltd.",4891,Growth,
"Nov. 21, 2022","Nov. 14, 2022",CANOX CORPORATION,8076,Standard,
"Nov. 15, 2022","Oct. 12, 2022","BASE FOOD,Inc.",2936,Growth,
"Nov. 15, 2022","Oct. 11, 2022","POPER Co.,Ltd.",5134,Growth,
"Nov. 01, 2022","Oct. 03, 2022",Terilogy Holdings Corporation **,5133,Standard,
"Oct. 28, 2022","Sep. 22, 2022","pluszero,Inc.",5132,Growth,
"Oct. 27, 2022","Sep. 21, 2022",FCE Holdings Inc.,9564,Standard,
"Oct. 26, 2022","Sep. 22, 2022",Linkers Corporation,5131,Growth,
"Oct. 26, 2022","Sep. 21, 2022",Atlas Technologies Corporation,9563,Growth,
"Oct. 20, 2022","Sep. 14, 2022",Business Coach Inc.,9562,Growth,
"Oct. 19, 2022","Sep. 13, 2022","SBI Leasing Services Co.,Ltd.",5834,Growth,
"Oct. 12, 2022","Sep. 06, 2022",Socionext Inc.,6526,Prime,
"Oct. 07, 2022","Sep. 05, 2022","CUBE CO.,LTD.",7112,Growth,
"Oct. 06, 2022","Sep. 20, 2022","PBsystems,Inc.",4447,Growth,
"Oct. 06, 2022","Sep. 01, 2022",FIXER Inc.,5129,Growth,
"Oct. 03, 2022","Sep. 01, 2022",WOW WORLD GROUP Inc. **,5128,Prime,
"Oct. 03, 2022","Sep. 01, 2022","Iyogin Holdings,Inc. **",5830,Prime,
"Oct. 03, 2022","Sep. 01, 2022","Shizuoka Financial Group,Inc. **",5831,Prime,
