Date,Issue Name,Code,Market Segment,Reason
"Dec. 28, 2016",Network Value Components Ltd.,3394,2nd Section,Becoming a wholly owned subsidiary of NS Solutions Corporation
"Dec. 28, 2016",Nippon Kasei Chemical Company Limited,4007,1st Section,Becoming a wholly owned subsidiary of Mitsubishi Chemical Corporation (Unlisted)
"Dec. 28, 2016",OPTEX FA Company Limited,6661,JASDAQ Standard,"Becoming a wholly owned subsidiary of OPTEX GROUP Company,Limited"
"Dec. 28, 2016",TYO Inc.,4358,1st Section,Becoming a wholly owned subsidiary of AOI TYO Holdings Inc.
"Dec. 28, 2016",AOI Pro.Inc.,9607,1st Section,Becoming a wholly owned subsidiary of AOI TYO Holdings Inc.
"Dec. 28, 2016","FUKUYAMA CONSULTANTS CO.,LTD.",9608,JASDAQ Standard,Becoming a wholly owned subsidiary of Founder's Consultants Holdings Inc.
"Dec. 08, 2016",The Dow Chemical Company,4850,1st Section Foreign Stocks,Delisted based on application
"Nov. 28, 2016","KUROGANEYA.CO.,LTD.",9855,2nd Section,"Becoming a wholly owned subsidiary of DCM Holdings Co.,Ltd."
"Nov. 28, 2016","NOVARESE,Inc.",2128,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Nov. 28, 2016",Acucela Inc.,4589,Mothers Foreign Stocks,Merging with Acucela North America Inc. (Unlisted)
"Nov. 16, 2016","KUSURI NO AOKI CO.,LTD.",3398,1st Section,"Becoming a wholly owned subsidiary of KUSURI NO AOKI HOLDINGS CO.,LTD."
"Nov. 09, 2016","The Nippon Synthetic Chemical Industry Co.,Ltd.",4201,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Nov. 04, 2016",CS LOGINET INC.,2710,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Nov. 01, 2016",modulat inc.,3043,JASDAQ Growth,Delay in submission of a securities report
"Nov. 01, 2016",SAKHA DIAMOND Corp.,9898,JASDAQ Standard,The stock price of a company is less than the required value.
"Oct. 31, 2016","Photocreate Co.,Ltd.",6075,Mothers,"Acquisition by a demand for share, etc. cash-out"
"Oct. 27, 2016","Nissen Holdings Co.,Ltd.",8248,1st Section,"Becoming a wholly owned subsidiary of Seven & i Net Media Co., Ltd. (Unlisted)"
"Oct. 21, 2016","KINUGAWA RUBBER INDUSTRIAL CO.,LTD.",5196,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Oct. 14, 2016","KYOSEI RENTEMU CO.,Ltd.",9680,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Oct. 06, 2016",MediBIC Group,2369,Mothers,The sales of a company is less than the required value.
"Sep. 28, 2016","The Joyo Bank,Ltd.",8333,1st Section,"Becoming a wholly owned subsidiary of Mebuki Financial Group,Inc."
"Sep. 28, 2016","IREP Co.,Ltd.",2132,2nd Section,Becoming a wholly owned subsidiary of D.A.Consortium Holdings Inc.
"Sep. 28, 2016",D.A.Consortium Inc.,4281,JASDAQ Standard,Becoming a wholly owned subsidiary of D.A.Consortium Holdings Inc.
"Sep. 28, 2016","THE NISHI-NIPPON CITY BANK, LTD.",8327,1st Section,"Becoming a wholly owned subsidiary of Nishi-Nippon Financial Holdings,Inc."
"Sep. 27, 2016","WiZ CO.,LTD.",7835,JASDAQ Standard,Reverse stock split
"Sep. 26, 2016","NIHON KENSHI CO.,LTD.",5398,2nd Section,Reverse stock split
"Aug. 29, 2016","UNY Group Holdings Co.,Ltd.",8270,1st Section,"Merging with FamilyMart Co.,Ltd."
"Aug. 29, 2016",Citigroup Inc.,8710,1st Section Foreign Stocks,Delisted based on application
"Aug. 29, 2016","DAIYU EIGHT CO.,LTD.",2662,1st Section,"Becoming a wholly owned subsidiary of DAIYU・LIC HOLDINGS CO.,LTD."
"Aug. 29, 2016","LIC CO.,LTD.",3147,JASDAQ Standard,"Becoming a wholly owned subsidiary of DAIYU・LIC HOLDINGS CO.,LTD."
"Aug. 22, 2016",NJK CORPORATION,9748,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Aug. 10, 2016","SAPPORO DRUG STORE CO.,LTD.",2786,1st Section,"Becoming a wholly owned subsidiary of SATUDORA HOLDINGS CO.,LTD."
"Aug. 08, 2016","EIGHTING Co.,Ltd.",3785,Mothers,"Becoming a wholly owned subsidiary of COLOPL,Inc."
"Aug. 05, 2016","GABAN Co.,Ltd.",2817,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Aug. 01, 2016","MAG NET HOLDINGS,INC.",8073,JASDAQ Standard,Having liabilities in excess of assets
"Aug. 01, 2016","OSAKI ENGINEERING CO.,LTD.",6259,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
