Date,Issue Name,Code,Market Segment,Reason
"Jul. 27, 2016",Nihon Inter Electronics Corporation,6974,2nd Section,Merging with KYOCERA CORPORATION
"Jul. 27, 2016","DAIHATSU MOTOR CO.,LTD.",7262,1st Section,Becoming a wholly owned subsidiary of TOYOTA MOTOR CORPORATION
"Jul. 27, 2016","DC CO.,LTD.",5234,1st Section,Becoming a wholly owned subsidiary of TAIHEIYO CEMENT CORPORATION
"Jul. 25, 2016","ETA ELECTRIC INDUSTRY CO.,LTD.",6891,JASDAQ Standard,Having liabilities in excess of assets
"Jul. 19, 2016",NIFTY Corporation,3828,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Jul. 14, 2016","TOKYO KOHTETSU CO.,Ltd",5448,JASDAQ Standard,Reverse stock split
"Jun. 28, 2016","SALA HOUSE CO.,LTD.",1405,2nd Section,Becoming a wholly owned subsidiary of SALA CORPORATION
"Jun. 16, 2016","HIMIKO Co.,Ltd.",9892,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"May. 27, 2016","ROYAL ELECTRIC CO.,LTD.",6593,JASDAQ Standard,"Becoming a wholly owned subsidiary of Odawara Engineering Co.,Ltd."
"May. 23, 2016",Fuji Technica & Miyazu Inc.,6476,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"May. 02, 2016","Aisei Pharmacy Co.,Ltd.",3170,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Apr. 26, 2016","TOKO,INC.",6801,1st Section,"Becoming a wholly owned subsidiary of Murata Manufacturing Co.,Ltd."
"Apr. 25, 2016",MORITEX CORPORATION,7714,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Mar. 29, 2016",SHIROKI CORPORATION,7243,1st Section,"Becoming a wholly owned subsidiary of AISIN SEIKI CO.,LTD."
"Mar. 29, 2016",ITOHAM FOODS INC.,2284,1st Section,Becoming a wholly owned subsidiary of ITOHAM YONEKYU HOLDINGS INC.
"Mar. 29, 2016",YONEKYU CORPORATION,2290,1st Section,Becoming a wholly owned subsidiary of ITOHAM YONEKYU HOLDINGS INC.
"Mar. 29, 2016","Nippon Conveyor Co.,Ltd.",6375,1st Section,"Becoming a wholly owned subsidiary of NC Holdings Co.,Ltd."
"Mar. 29, 2016","The Bank of Yokohama,Ltd.",8332,1st Section,"Becoming a wholly owned subsidiary of Concordia Financial Group,Ltd."
"Mar. 29, 2016","The Higashi-Nippon Bank,Limited",8536,1st Section,"Becoming a wholly owned subsidiary of Concordia Financial Group,Ltd."
"Mar. 17, 2016","Nagano Japan Radio Co.,Ltd.",6878,2nd Section,"Becoming a wholly owned subsidiary of Japan Radio Co.,Ltd."
"Mar. 14, 2016",Ikyu Corporation,2450,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Mar. 09, 2016","Kenko.com,Inc.",3325,Mothers,"Acquisition by a demand for share, etc. cash-out"
"Feb. 25, 2016","URAI CO.,LTD.",2658,JASDAQ Standard,Reverse stock split
"Feb. 25, 2016","Zakkaya Bulldog Co.,Ltd.",3331,JASDAQ Standard,"Becoming a wholly owned subsidiary of AXAS HOLDINGS CO.,LTD."
"Feb. 22, 2016","Parking Management Organization,Ltd.",3251,Mothers,"Acquisition by a demand for share, etc. cash-out"
"Feb. 18, 2016","SHINSEIDO CO.,LTD.",7415,JASDAQ Standard,Merging with WonderCorporation
"Feb. 02, 2016","T.D.I. CO.,LTD.",9638,JASDAQ Standard,Reverse stock split
"Jan. 27, 2016",OHNAMI CORPORATION,9317,2nd Section,Becoming a wholly owned subsidiary of Hitachi Zosen Corporation
"Jan. 25, 2016","TOFUKU FLOUR MILLS CO.,LTD.",2006,2nd Section,The market capitalization of tradable shares is less than the required value.
"Jan. 21, 2016","HANATEN Co.,Ltd.",9870,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Jan. 21, 2016","HAKUSEISHA CO.,LTD.",9736,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
