Date,Issue Name,Code,Market Segment,Reason
"Dec. 29, 2020",LINE Corporation,3938,1st Section,Reverse stock split
"Dec. 25, 2020","NTT DOCOMO,INC.",9437,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Dec. 24, 2020",FUJITSU FRONTECH LIMITED,6945,2nd Section,Reverse stock split
"Nov. 27, 2020","APLUS FINANCIAL Co.,Ltd.",8589,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Nov. 12, 2020","FamilyMart Co.,Ltd.",8028,1st Section,Reverse stock split
"Nov. 11, 2020",KEIHIN CORPORATION,7251,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Nov. 11, 2020",SHOWA CORPORATION,7274,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Nov. 11, 2020","NISSIN KOGYO CO.,LTD.",7230,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Nov. 05, 2020","NICHIIGAKKAN CO.,LTD.",9792,1st Section,Reverse stock split
"Oct. 28, 2020","Kawasumi Laboratories,Incorporated",7703,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Oct. 20, 2020",LIXIL VIVA CORPORATION,3564,1st Section,Reverse stock split
"Oct. 03, 2020",Nuts Inc.,7612,JASDAQ Standard,Public interest and protection of investors (decision on commencement of bankruptcy proceedings)
"Sep. 29, 2020","ipet Insurance CO.,Ltd.",7323,Mothers,"Becoming a wholly owned subsidiary of ipet Holdings,Inc."
"Sep. 29, 2020","The Hiroshima Bank,Ltd.",8379,1st Section,"Becoming a wholly owned subsidiary of Hirogin Holdings,Inc."
"Sep. 29, 2020","INVAST SECURITIES CO.,LTD.",8709,JASDAQ Standard,Becoming a wholly owned subsidiary of INV Inc.
"Sep. 25, 2020","BOSO OIL&FAT CO.,LTD.",2608,2nd Section,Reverse stock split
"Aug. 31, 2020",Sony Financial Holdings Inc.,8729,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Aug. 28, 2020","MAXVALU KYUSHU CO.,LTD.",3171,JASDAQ Standard,"Merging with AEON KYUSHU CO.,LTD."
"Aug. 26, 2020","LIKE Kids,Inc.",6065,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Jul. 30, 2020",ARRK CORPORATION,7873,1st Section,"Becoming a wholly owned subsidiary of Mitsui Chemicals,Inc."
"Jul. 29, 2020","DSB Co.,Ltd.",8692,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Jul. 28, 2020","MIYAKO,Inc.",3424,JASDAQ Standard,Reverse stock split
"Jul. 10, 2020","JAPAN U-PICA COMPANY,LTD.",7891,JASDAQ Standard,Reverse stock split
"Jun. 29, 2020","L'attrait Co.,Ltd.",8885,JASDAQ Growth,"Becoming a wholly owned subsidiary of LA Holdings Co.,Ltd."
"Jun. 19, 2020","Hitachi Chemical Company,Ltd.",4217,1st Section,Reverse stock split
"Jun. 18, 2020","UNIZO Holdings Company,Limited",3258,1st Section,Reverse stock split
"Jun. 18, 2020","DAITO GYORUI CO.,LTD.",8044,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Jun. 16, 2020",RENOWN INCORPORATED,3606,1st Section,Public interest and protection of investors (decision on commencement of civil rehabilitation proceedings)
"Jun. 05, 2020","ODELIC CO.,LTD.",6889,JASDAQ Standard,Reverse stock split
"Jun. 02, 2020","MAMEZOU HOLDINGS CO.,LTD.",3756,1st Section,Reverse stock split
"Jun. 01, 2020","ZWEI CO.,LTD.",2417,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"May. 25, 2020","Yamaha Motor Robotics Holdings Co.,Ltd.",6274,1st Section,"Acquisition by a demand for share, etc. cash-out"
"May. 18, 2020",Hitachi High-Tech Corporation,8036,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Apr. 20, 2020","Showa Aircraft Industry Co.,Ltd.",7404,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Apr. 17, 2020","SOGO MEDICAL HOLDINGS CO.,LTD.",9277,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Apr. 15, 2020",JEUGIA Corporation,9826,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Mar. 30, 2020","NuFlare Technology,Inc.",6256,JASDAQ Standard,Reverse stock split
"Mar. 30, 2020","A.D.Works Co.,Ltd.",3250,1st Section,"Becoming a wholly owned subsidiary of A.D.Works Group Co.,Ltd."
"Mar. 30, 2020","EXCEL CO.,LTD.",7591,1st Section,"Becoming a wholly owned subsidiary of CITY INDEX ELEVENTH CO.,Ltd. (Unlisted)"
"Mar. 29, 2020","Kojima Iron Works Co.,Ltd.",6112,2nd Section,The listed market capitalization is less than the required value.
"Mar. 27, 2020",HOSODA CORPORATION,1906,JASDAQ Standard,Reverse stock split
"Mar. 26, 2020",MYSTAR ENGINEERING CORP.,4695,2nd Section,Reverse stock split
"Mar. 18, 2020","PARCO CO.,LTD.",8251,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Mar. 17, 2020","KANEYO Co.,Ltd.",3209,2nd Section,Reverse stock split
"Mar. 16, 2020",UMN Pharma Inc.,4585,Mothers,Reverse stock split
"Mar. 09, 2020","FUJIKOH COMPANY.,LIMITED",2405,2nd Section,Reverse stock split
"Feb. 27, 2020","MAXVALU TOHOKU CO.,LTD.",2655,2nd Section,"Becoming a wholly owned subsidiary of AEON CO.,LTD."
"Feb. 27, 2020","MAXVALU HOKKAIDO CO.,Ltd.",7465,JASDAQ Standard,Merging with Aeon Hokkaido Corporation
"Feb. 27, 2020","SOTSU CO.,LTD.",3711,JASDAQ Standard,Reverse stock split
"Feb. 27, 2020",Mitsubishi Tanabe Pharma Corporation,4508,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Feb. 27, 2020","NISHISHIBA ELECTRIC CO.,LTD.",6591,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Feb. 18, 2020","COCO'S JAPAN CO.,LTD.",9943,JASDAQ Standard,"Becoming a wholly owned subsidiary of Nihon Restaurant Holdings Co.,Ltd. (Unlisted)"
"Jan. 27, 2020",TOSHIBA PLANT SYSTEMS & SERVICES CORPORATION,1983,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Jan. 23, 2020","MAJESTY GOLF Co.,Ltd.",7834,JASDAQ Standard,Reverse stock split
"Jan. 21, 2020","Minori Solutions Co.,Ltd.",3822,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Jan. 09, 2020","Defactostandard,Ltd.",3545,1st Section,Becoming a wholly owned subsidiary of BEENOS Inc.
"Jan. 07, 2020",LEVI STRAUSS JAPAN KABUSHIKI KAISHA,9836,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
