Date,Issue Name,Code,Market Segment,Reason
"Dec. 26, 2018","SOLCOM Co.,Ltd.",1987,2nd Section,Becoming a wholly owned subsidiary of MIRAIT Holdings Corporation
"Dec. 26, 2018","Nisshin Steel Co.,Ltd.",5413,1st Section,Becoming a wholly owned subsidiary of NIPPON STEEL & SUMITOMO METAL CORPORATION
"Dec. 26, 2018","ALPINE ELECTRONICS,INC.",6816,1st Section,"Becoming a wholly owned subsidiary of ALPS ALPINE CO.,LTD."
"Dec. 26, 2018","ELNA CO.,LTD.",6972,2nd Section,"Becoming a wholly owned subsidiary of TAIYO YUDEN CO.,LTD."
"Dec. 04, 2018",KUWAYAMA CORPORATION,7889,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Dec. 03, 2018","American International Group,Inc.",8685,1st Section Foreign Stocks,Delisted based on application
"Nov. 27, 2018","Excite Japan Co.,Ltd.",3754,JASDAQ Standard,"Acquisition by a demand for share, etc. cash-out"
"Nov. 20, 2018",FUJITSU COMPONENT LIMITED,6719,2nd Section,Reverse stock split
"Oct. 26, 2018",D.A.Consortium Holdings Inc.,6534,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Oct. 22, 2018","TOBU STORE CO.,LTD.",8274,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Oct. 12, 2018","Mitsui Home Co.,Ltd.",1868,1st Section,"Acquisition by a demand for share, etc. cash-out"
"Oct. 12, 2018","URBAN LIFE Co.,Ltd.",8851,2nd Section,"Acquisition by a demand for share, etc. cash-out"
"Sep. 26, 2018","NIPPON DENTSU CO.,LTD.",1931,2nd Section,Becoming a wholly owned subsidiary of KYOWA EXEO CORPORATION
"Sep. 26, 2018",SYSKEN Corporation,1933,2nd Section,Becoming a wholly owned subsidiary of COMSYS Holdings Corporation
"Sep. 26, 2018","TTK Co.,Ltd.",1935,2nd Section,Becoming a wholly owned subsidiary of MIRAIT Holdings Corporation
"Sep. 26, 2018","Seibu Electric Industry Co.,Ltd.",1937,1st Section,Becoming a wholly owned subsidiary of KYOWA EXEO CORPORATION
"Sep. 26, 2018","NDS CO.,LTD.",1956,1st Section,Becoming a wholly owned subsidiary of COMSYS Holdings Corporation
"Sep. 26, 2018","Hokuriku Denwa Kouji Co.,Ltd.",1989,2nd Section,Becoming a wholly owned subsidiary of COMSYS Holdings Corporation
"Sep. 26, 2018","ITbook Co.,LTD.",3742,Mothers,"Becoming a wholly owned subsidiary of ITbook Holdings Co.,LTD."
"Sep. 26, 2018","Something Holdings Co.,Ltd.",1408,JASDAQ Growth,"Becoming a wholly owned subsidiary of ITbook Holdings Co.,LTD."
