Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
45400,TSUMURA & CO.,Prime,Pharmaceutical,March,March,,,Stock prices,1936/04/25
45430,TERUMO CORPORATION,Prime,Precision Instruments,March,March,,,Stock prices,1921/09/17
45440,"H.U. Group Holdings,Inc.",Prime,Services,March,March,,,Stock prices,1950/12/18
45470,"KISSEI PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March,March,,,Stock prices,1946/08/09
45480,SEIKAGAKU CORPORATION,Prime,Pharmaceutical,March,March,,,Stock prices,1947/06/02
45490,"EIKEN CHEMICAL CO.,LTD.",Prime,Pharmaceutical,March,March,,,Stock prices,1939/02/20
45510,"TORII PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,December,December,,,Stock prices,1921/11/01
45520,"JCR Pharmaceuticals Co.,Ltd.",Prime,Pharmaceutical,March,March,,,Stock prices,1975/09/13
45530,"TOWA PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March,March,,,Stock prices,1957/04/19
45540,"Fuji Pharma Co.,Ltd.",Prime,Pharmaceutical,September,September,,,Stock prices,1965/04/01
45560,"KAINOS Laboratories,Inc.",Standard,Pharmaceutical,March,March,,,Stock prices,1975/05/01
45580,"CHUKYO IYAKUHIN CO.,LTD.",Standard,Pharmaceutical,March,March,,,Stock prices,1978/05/01
45590,"ZERIA PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,March,March,,,Stock prices,1955/12/22
45630,"AnGes,Inc.",Growth,Pharmaceutical,December,December,,,Stock prices,1999/12/17
45640,"OncoTherapy Science,Inc.",Growth,Pharmaceutical,March,March,,,Stock prices,2001/04/06
45650,"Nxera Pharma Co.,Ltd.",Prime,Pharmaceutical,December,December,,,Stock prices,1990/06/22
45680,"DAIICHI SANKYO COMPANY,LIMITED",Prime,Pharmaceutical,March,March,,,Stock prices,
45690,"KYORIN Pharmaceutical Co.,Ltd.",Prime,Pharmaceutical,March,March,,,Stock prices,1958/10/31
45700,"Immuno-Biological Laboratories Co.,Ltd.",Growth,Pharmaceutical,March,March,,,Stock prices,1982/09/09
45710,"NANO MRNA Co.,Ltd.",Growth,Pharmaceutical,March,March,,,Stock prices,1996/06/14
45720,"Carna Biosciences,Inc.",Growth,Pharmaceutical,December,December,,,Stock prices,2003/04/10
45740,"TAIKO PHARMACEUTICAL CO.,LTD.",Prime,Pharmaceutical,December,December,,,Stock prices,1946/11/18
45750,"CanBas Co.,Ltd.",Growth,Pharmaceutical,June,June,,,Stock prices,2000/01/18
45760,"D.Western Therapeutics Institute, Inc.",Growth,Pharmaceutical,December,December,,,Stock prices,2004/11/26
45770,"Daito Pharmaceutical Co.,Ltd.",Prime,Pharmaceutical,May,May,,,Stock prices,1942/06/30
45780,"Otsuka Holdings Co.,Ltd.",Prime,Pharmaceutical,December,December,,,Stock prices,2008/07/08
45790,RaQualia Pharma Inc.,Growth,Pharmaceutical,December,December,,,Stock prices,2008/02/19
45820,SymBio Pharmaceuticals Limited,Growth,Pharmaceutical,December,December,,,Stock prices,2005/03/25
45830,Chiome Bioscience Inc.,Growth,Pharmaceutical,December,December,,,Stock prices,2005/02/08
45840,Kidswell Bio Corporation,Growth,Pharmaceutical,March,March,,,Stock prices,2001/03/01
45860,"Medrx Co.,Ltd.",Growth,Pharmaceutical,December,December,,,Stock prices,2002/01/15
45870,PeptiDream Inc.,Prime,Pharmaceutical,December,December,,,Stock prices,2006/07/03
