Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
96470,"KYOWA ENGINEERING CONSULTANTS CO.,LTD.",Standard,Services,November,November,,,Stock prices,1961/08/29
96510,"Japan Process Development Co.,Ltd.",Standard,Information & Communication,May,May,,,Stock prices,1967/06/20
96560,GREENLAND RESORT COMPANY LIMITED,Standard,Services,December,December,,,Stock prices,1980/01/10
96580,BUSINESS BRAIN SHOWA・OTA INC.,Prime,Information & Communication,March,March,,,Stock prices,1967/08/26
96610,"Kabuki-Za Co.,Ltd.",Standard,Services,February,February,,,Stock prices,1949/11/21
96630,"NAGAWA CO.,Ltd",Prime,Services,March,March,,,Stock prices,1980/11/07
96720,"TOKYOTOKEIBA CO.,LTD.",Prime,Services,December,December,,,Stock prices,1949/12/20
96750,"Joban Kosan Co.,Ltd.",Standard,Services,March,March,,,Stock prices,1944/03/31
96780,"KANAMOTO CO.,LTD.",Prime,Services,October,October,,,Stock prices,1937/09/24
96790,"HORAI Co.,Ltd.",Standard,Services,September,September,,,Stock prices,1928/01/16
96820,DTS CORPORATION,Prime,Information & Communication,March,March,,,Stock prices,1972/08/25
96840,"SQUARE ENIX HOLDINGS CO.,LTD.",Prime,Information & Communication,March,March,,,Stock prices,1975/09/22
96850,"KYCOM HOLDINGS CO.,LTD.",Standard,Information & Communication,March,March,,,Stock prices,1968/05/30
96860,"TOYO TEC CO.,LTD.",Standard,Services,March,March,,,Stock prices,1972/10/11
96870,"KSK CO.,LTD",Standard,Information & Communication,March,March,,,Stock prices,1974/05/23
96910,"RYOMO SYSTEMS CO.,LTD.",Standard,Information & Communication,March,March,,,Stock prices,1970/01/31
96920,COMPUTER ENGINEERING & CONSULTING LTD.,Prime,Information & Communication,January,January,,,Stock prices,1968/02/24
96960,With us Corporation,Standard,Services,March,March,,,Stock prices,1976/07/10
96970,"CAPCOM CO.,LTD.",Prime,Information & Communication,March,March,,,Stock prices,1979/05/30
96980,"CREO CO.,LTD.",Standard,Information & Communication,March,March,,,Stock prices,1974/03/22
96990,"NISHIO HOLDINGS CO.,LTD.",Prime,Services,September,September,,,Stock prices,1946/09/09
97010,"Tokyo Kaikan Co.,Ltd.",Standard,Services,March,March,,,Stock prices,1920/04/24
97020,ISB CORPORATION,Prime,Information & Communication,December,December,,,Stock prices,1970/06/04
97040,"Agora Hospitality Group Co.,Ltd.",Standard,Services,December,December,,,Stock prices,1948/03/20
97060,"Japan Airport Terminal Co.,ltd.",Prime,Real Estate,March,March,,,Stock prices,1953/07/20
97080,"Imperial Hotel,Ltd.",Standard,Services,March,March,,,Stock prices,1907/01/15
97090,"NCS&A CO.,LTD.",Standard,Information & Communication,March,March,,,Stock prices,1966/09/21
97130,"THE ROYAL HOTEL,LIMITED",Standard,Services,March,March,,,Stock prices,1932/03/14
97150,transcosmos inc.,Prime,Services,March,March,,,Stock prices,1978/11/30
97160,"NOMURA Co.,Ltd.",Prime,Services,February,February,,,Stock prices,1942/12/09
97170,"JASTEC Co.,Ltd.",Prime,Information & Communication,November,November,,,Stock prices,1971/07/16
97190,SCSK Corporation,Prime,Information & Communication,March,March,,,Stock prices,1969/10/25
97200,"HOTEL NEWGRAND CO.,LTD.",Standard,Services,November,November,,,Stock prices,1926/07/06
97220,FUJITA KANKO INC.,Prime,Services,December,December,,,Stock prices,1946/06/12
97230,"THE KYOTO HOTEL,LTD.",Standard,Services,March,March,,,Stock prices,1927/06/07
97260,"KNT-CT Holdings Co.,Ltd.",Standard,Services,March,March,,,Stock prices,1947/05/26
97290,TOKAI Corp.,Prime,Services,March,March,,,Stock prices,1955/07/21
97310,"Hakuyosha Company,Ltd.",Standard,Services,December,December,,,Stock prices,1920/05/02
97330,Nagase Brothers Inc.,Standard,Services,March,March,,,Stock prices,1976/05/10
97350,"SECOM CO.,LTD.",Prime,Services,March,March,,,Stock prices,1962/07/07
97390,NSW Inc.,Prime,Information & Communication,March,March,,,Stock prices,1966/08/03
97400,"CENTRAL SECURITY PATROLS CO.,LTD.",Prime,Services,February,February,,,Stock prices,1972/04/19
97420,INES Corporation,Prime,Information & Communication,March,March,,,Stock prices,1964/07/28
97430,"TANSEISHA CO.,LTD.",Prime,Services,January,January,,,Stock prices,1949/10/14
97440,MEITEC Group Holdings Inc.,Prime,Services,March,March,,,Stock prices,1974/07/17
97460,TKC Corporation,Prime,Information & Communication,September,September,,,Stock prices,1966/10/22
97490,FUJI SOFT INCORPORATED,Prime,Information & Communication,December,December,,,Stock prices,1970/05/15
97530,IX Knowledge Incorporated,Standard,Information & Communication,March,March,,,Stock prices,1979/06/22
97550,OYO Corporation,Prime,Services,December,December,,,Stock prices,1957/05/02
97570,Funai Soken Holdings Incorporated,Prime,Services,December,December,,,Stock prices,1970/03/06
97590,"NSD CO.,LTD.",Prime,Information & Communication,March,March,,,Stock prices,1969/04/08
97600,"SHINGAKUKAI HOLDINGS CO.,LTD.",Standard,Services,March,March,,,Stock prices,1976/06/17
97610,"TOKAI LEASE CO.,LTD.",Standard,Services,March,March,,,Stock prices,1968/05/20
97630,"Marubeni Construction Material Lease Co.,Ltd.",Standard,Wholesale Trade,March,March,,,Stock prices,1939/02/06
97650,"OHBA CO.,LTD.",Prime,Services,May,May,,,Stock prices,1947/10/01
97660,KONAMI GROUP CORPORATION,Prime,Information & Communication,March,March,,,Stock prices,1973/03/19
97670,"NIKKEN KOGAKU CO.,LTD.",Standard,Services,March,March,,,Stock prices,1950/11/01
97680,"IDEA Consultants,Inc.",Standard,Services,December,December,,,Stock prices,1968/09/24
97690,"GAKKYUSHA CO.,LTD.",Prime,Services,March,March,,,Stock prices,1976/10/06
97760,SAPPORO CLINICAL LABORATORY INC.,Standard,Services,March,March,,,Stock prices,1965/09/22
97780,"SUBARU CO.,LTD.",Standard,Services,February,February,,,Stock prices,1959/09/08
97800,HARIMA B.STEM CORPORATION,Standard,Services,March,March,,,Stock prices,1961/10/06
97820,DMS INC.,Standard,Services,March,March,,,Stock prices,1961/04/04
97870,"AEON DELIGHT CO.,LTD.",Prime,Services,February,February,,,Stock prices,1973/04/06
97880,"NAC CO.,LTD.",Prime,Services,March,March,,,Stock prices,1971/05/20
97900,"Fukui Computer Holdings,Inc.",Prime,Information & Communication,March,March,,,Stock prices,1979/12/17
97910,BIKEN TECHNO CORPORATION,Standard,Services,March,March,,,Stock prices,1963/05/14
97930,"Daiseki Co.,Ltd.",Prime,Services,February,February,,,Stock prices,1958/10/01
97950,"STEP CO.,LTD.",Prime,Services,September,September,,,Stock prices,1979/09/20
97990,"ASAHI INTELLIGENCE SERVICE CO.,LTD.",Standard,Information & Communication,March,March,,,Stock prices,1962/08/07
98120,"T.O. Holdings CO.,LTD.",Standard,Wholesale Trade,May,May,,,Stock prices,1955/01/10
98160,Striders Corporation,Standard,Real Estate,March,March,,,Stock prices,1965/02/04
98180,"DAIMARU ENAWIN Co.,Ltd.",Standard,Wholesale Trade,March,March,,,Stock prices,1951/02/16
98200,MT GENEX CORPORATION,Standard,Real Estate,March,March,,,Stock prices,1961/09/29
98230,Mammy Mart Corporation,Standard,Retail Trade,September,September,,,Stock prices,1950/04/11
