Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
60380,"IID,Inc.",Growth,Services,June,June,,,Stock prices,2000/04/28
60390,"Japan Animal Referral Medical Center Co.,Ltd.",Growth,Services,March,March,,,Stock prices,2005/09/26
60400,"Nippon Ski Resort Development Co.,Ltd.",Growth,Services,July,July,,,Stock prices,2005/12/22
60420,"NIKKI CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1932/02/05
60440,SANKI SERVICE CORPORATION,Standard,Services,May,May,,,Stock prices,1977/07/11
60450,"Rentracks CO.,LTD.",Growth,Services,March,March,,,Stock prices,2005/12/22
60460,LINKBAL INC.,Growth,Services,September,September,,,Stock prices,2011/12/09
60470,Gunosy Inc.,Prime,Services,May,May,,,Stock prices,2012/11/14
60480,"DesignOne Japan,Inc.",Standard,Services,August,August,,,Stock prices,2005/09/13
60490,ItoKuro Inc.,Growth,Services,October,October,,,Stock prices,2006/03/30
60500,E-Guardian Inc.,Prime,Services,September,September,,,Stock prices,1998/05/12
60540,Livesense Inc.,Standard,Services,December,December,,,Stock prices,2006/02/08
60550,"JAPAN MATERIAL Co.,Ltd.",Prime,Services,March,March,,,Stock prices,1997/04/28
60580,VECTOR INC.,Prime,Services,February,February,,,Stock prices,1993/03/30
60590,"UCHIYAMA HOLDINGS Co.,Ltd.",Standard,Services,March,March,,,Stock prices,2006/10/02
60600,"Cocolonet CO., LTD.",Standard,Services,March,March,,,Stock prices,1971/12/27
60610,"UNIVERSAL ENGEISHA CO.,LTD",Standard,Services,June,June,,,Stock prices,1974/02/01
60620,CHARM CARE CORPORATION,Prime,Services,June,June,,,Stock prices,1984/08/22
60630,"Emergency Assistance Japan Co., Ltd.",Standard,Services,December,December,,,Stock prices,2003/01/16
60690,"Trenders,Inc.",Growth,Services,March,March,,,Stock prices,2000/04/19
60700,"CAREERLINK CO.,LTD.",Prime,Services,March,March,,,Stock prices,1996/10/01
60710,"IBJ,Inc.",Prime,Services,December,December,,,Stock prices,2006/02/23
60720,"Jibannet Holdings Co.,Ltd.",Growth,Services,March,March,,,Stock prices,2008/06/25
60730,ASANTE INCORPORATED,Prime,Services,March,March,,,Stock prices,1973/09/18
60740,JSS CORPORATION,Standard,Services,March,March,,,Stock prices,1976/07/26
60780,"Value HR Co.,Ltd.",Prime,Services,December,December,,,Stock prices,2001/07/04
60800,"M&A Capital Partners Co.,Ltd.",Prime,Services,September,September,,,Stock prices,2005/10/12
60810,"Allied Architects,Inc.",Growth,Services,December,December,,,Stock prices,2005/08/30
60820,"RIDE ON EXPRESS HOLDINGS Co.,Ltd.",Standard,Services,March,March,,,Stock prices,2001/07/31
60830,"ERI HOLDINGS CO.,LTD.",Standard,Services,May,May,,,Stock prices,2013/12/02
60850,ARCHITECTS STUDIO JAPAN INC.,Growth,Services,March,March,,,Stock prices,2007/11/09
60860,"Shin Maint Holdings Co.,Ltd.",Growth,Services,February,February,,,Stock prices,1985/08/23
60870,"ABIST Co.,Ltd.",Standard,Services,September,September,,,Stock prices,2006/03/17
60880,SIGMAXYZ Holdings Inc.,Prime,Services,March,March,,,Stock prices,2008/05/09
60890,"WILL GROUP,INC.",Prime,Services,March,March,,,Stock prices,2006/04/03
60900,"Human Metabolome Technologies,Inc.",Growth,Services,June,June,,,Stock prices,2003/07/01
60910,Wesco Holdings Inc.,Standard,Services,July,July,,,Stock prices,2014/02/03
60920,"EnBio Holdings,Inc",Standard,Services,March,March,,,Stock prices,1999/06/23
60930,"Escrow Agent Japan,Inc.",Standard,Services,February,February,,,Stock prices,2007/04/02
60940,"FreakOut Holdings,inc.",Growth,Services,September,September,,,Stock prices,2010/10/01
60950,"MedPeer,Inc.",Prime,Services,September,September,,,Stock prices,2004/12/09
60960,"RareJob,Inc.",Standard,Services,March,March,,,Stock prices,2007/10/18
60980,"Recruit Holdings Co.,Ltd.",Prime,Services,March,March,,,Stock prices,1963/08/26
60990,ELAN Corporation,Prime,Services,December,December,,,Stock prices,1995/02/06
61010,TSUGAMI CORPORATION,Prime,Machinery,March,March,,,Stock prices,1937/03/15
61030,OKUMA Corporation,Prime,Machinery,March,March,,,Stock prices,1918/07/15
61040,"SHIBAURA MACHINE CO.,LTD.",Prime,Machinery,March,March,,,Stock prices,1949/03/18
61130,"AMADA CO.,LTD.",Prime,Machinery,March,March,,,Stock prices,1948/05/01
61180,"AIDA ENGINEERING,LTD.",Prime,Machinery,March,March,,,Stock prices,1937/03/25
61250,"OKAMOTO MACHINE TOOL WORKS,LTD.",Standard,Machinery,March,March,,,Stock prices,1935/06/10
61310,"HAMAI CO.,LTD.",Standard,Machinery,March,March,,,Stock prices,1938/01/13
