Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
18210,"Sumitomo Mitsui Construction Co., Ltd.",Prime,Construction,March,March,,,Stock prices,1941/10/14
18220,DAIHO CORPORATION,Standard,Construction,March,March,,,Stock prices,1949/03/31
18260,"Sata Construction Co.,Ltd.",Standard,Construction,March,March,,,Stock prices,1949/10/03
18270,NAKANO CORPORATION,Standard,Construction,March,March,,,Stock prices,1942/12/19
18280,TANABE ENGINEERING CORPORATION,Standard,Construction,March,March,,,Stock prices,1969/02/01
182A0,MAXIS US Treasury Bond 20+ Year ETF (Unhedged),ETFs,-,-,-,,,Stock prices,-
18330,OKUMURA CORPORATION,Prime,Construction,March,March,,,Stock prices,1938/03/03
18350,"TOTETSU KOGYO CO.,LTD.",Prime,Construction,March,March,,,Stock prices,1943/07/07
183A0,MAXIS US Treasury Bond 20+ Year ETF (JPY Hedged),ETFs,-,-,-,,,Stock prices,-
18400,"TSUCHIYA HOLDINGS CO.,LTD.",Standard,Construction,October,October,,,Stock prices,1976/09/21
18410,"SANYU CONSTRUCTION CO.,LTD.",Standard,Construction,March,March,,,Stock prices,1950/07/11
18440,"OHMORI CO.,LTD.",Standard,Construction,July,July,,,Stock prices,1967/06/13
18470,"ICHIKEN Co.,Ltd.",Standard,Construction,March,March,,,Stock prices,1930/06/15
18480,FUJI P.S CORPORATION,Standard,Construction,March,March,,,Stock prices,1954/03/19
184A0,"Manabi-aid Co.,Ltd.",Growth,Information & Communication,April,April,,,Stock prices,2015/05/11
18500,"Nankai Tatsumura Construction Co.,Ltd.",Standard,Construction,March,March,,,Stock prices,1944/06/30
18520,ASANUMA CORPORATION,Prime,Construction,March,March,,,Stock prices,1937/06/15
18530,"Mori-Gumi Co.,Ltd.",Standard,Construction,March,March,,,Stock prices,1934/02/03
185A0,Recycle Tech Japan CORPORATION,TOKYO PRO Market,Services,February,February,,,Stock prices,2003/03/18
18600,TODA CORPORATION,Prime,Construction,March,March,,,Stock prices,1936/07/10
18610,"Kumagai Gumi Co.,Ltd.",Prime,Construction,March,March,,,Stock prices,1938/01/06
18660,KITANO CONSTRUCTION CORP.,Standard,Construction,March,March,,,Stock prices,1946/08/31
18670,UEKI CORPORATION,Standard,Construction,March,March,,,Stock prices,1948/07/26
186A0,Astroscale Holdings Inc.,Growth,Services,April,April,,,Stock prices,2018/11/15
18700,"YAHAGI CONSTRUCTION CO.,LTD.",Prime,Construction,March,March,,,Stock prices,1949/05/14
18710,"P.S. Mitsubishi Construction Co., Ltd.",Prime,Construction,March,March,,,Stock prices,1952/03/01
18730,"NIHON HOUSE HOLDINGS CO.,LTD.",Prime,Construction,April,April,,,Stock prices,1950/03/29
18780,"DAITO TRUST CONSTRUCTION CO.,LTD.",Prime,Real Estate,March,March,,,Stock prices,1974/06/20
18790,SHINNIHON CORPORATION,Prime,Construction,March,March,,,Stock prices,1964/10/16
187A0,"SAMTY HOLDINGS Co.,Ltd.",Prime,Real Estate,December,December,,,Stock prices,2024/06/03
18820,TOA ROAD CORPORATION,Prime,Construction,March,March,,,Stock prices,1930/11/28
18840,"THE NIPPON ROAD CO.,LTD.",Prime,Construction,March,March,,,Stock prices,1929/03/10
18850,TOA CORPORATION,Prime,Construction,March,March,,,Stock prices,1920/01/23
18870,JDC CORPORATION,Prime,Construction,May,May,,,Stock prices,1951/04/10
18880,"WAKACHIKU CONSTRUCTION CO.,LTD.",Prime,Construction,March,March,,,Stock prices,1890/05/23
188A0,Global X India Top 10+ ETF,ETFs,-,-,-,,,Stock prices,-
18900,"TOYO CONSTRUCTION CO.,LTD.",Prime,Construction,March,March,,,Stock prices,1929/07/03
18930,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",Prime,Construction,March,March,,,Stock prices,1950/04/28
18970,"The Kaneshita Construction Co.,Ltd.",Standard,Construction,December,December,,,Stock prices,1951/04/10
18980,"SEIKITOKYU KOGYO CO.,LTD.",Prime,Construction,March,March,,,Stock prices,1950/01/16
