Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
52100,"Nihon Yamamura Glass Co.,Ltd.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1941/12/11
52140,"Nippon Electric Glass Co.,Ltd.",Prime,Glass & Ceramics Products,December,December,,,Stock prices,1944/10/31
52160,"KURAMOTO CO.,LTD.",Standard,Glass & Ceramics Products,December,December,,,Stock prices,1980/08/29
52170,Techno Quartz Inc.,Standard,Glass & Ceramics Products,March,March,,,Stock prices,1976/10/02
52180,OHARA INC.,Standard,Glass & Ceramics Products,October,October,,,Stock prices,1941/11/01
52320,"Sumitomo Osaka Cement Co.,Ltd.",Prime,Glass & Ceramics Products,March,March,,,Stock prices,1907/11/29
52330,TAIHEIYO CEMENT CORPORATION,Prime,Glass & Ceramics Products,March,March,,,Stock prices,1881/05/03
52370,NOZAWA CORPORATION,Standard,Glass & Ceramics Products,March,March,,,Stock prices,1913/09/28
52400,"monoAI technology Co.,Ltd.",Growth,Information & Communication,December,December,,,Stock prices,2013/01/04
52410,"Nihon Office Automation Research Co.,Ltd.",TOKYO PRO Market,Information & Communication,December,December,,,Stock prices,1983/05/11
52420,"EYEZ,INC.",Growth,Information & Communication,December,December,,,Stock prices,2007/02/14
52430,note inc.,Growth,Information & Communication,November,November,,,Stock prices,2011/12/08
52440,"jig.jp co.,ltd.",Growth,Information & Communication,March,March,,,Stock prices,2003/05/28
52460,"ELEMENTS,Inc.",Growth,Information & Communication,November,November,,,Stock prices,2013/12/24
52470,"BTM,Inc.",Growth,Information & Communication,March,March,,,Stock prices,2011/08/04
52480,"TECHNOLOGIES,Inc.",Growth,Information & Communication,January,January,,,Stock prices,2014/08/05
52490,"Asakawa Systems Co.,Ltd.",TOKYO PRO Market,Information & Communication,March,March,,,Stock prices,1984/07/04
52500,"PRIME STRATEGY CO.,LTD.",Standard,Information & Communication,November,November,,,Stock prices,2002/12/02
52510,"WISS1 Co.,Ltd.",TOKYO PRO Market,Information & Communication,December,December,,,Stock prices,1999/01/04
52520,"Nihon Knowledge Co,Ltd.",Growth,Information & Communication,March,March,,,Stock prices,1985/10/22
52530,COVER Corporation,Growth,Information & Communication,March,March,,,Stock prices,2016/06/13
52540,Arent Inc.,Growth,Information & Communication,June,June,,,Stock prices,2012/07/02
52550,Monstarlab Holdings Inc.,Growth,Information & Communication,December,December,,,Stock prices,2006/02/03
52560,"Fusic Co.,Ltd.",Growth,Information & Communication,June,June,,,Stock prices,2003/10/10
52570,"NOVA SYSTEM CO.,LTD.",Standard,Information & Communication,December,December,,,Stock prices,1982/09/10
52580,Transaction Media Networks Inc.,Growth,Information & Communication,March,March,,,Stock prices,2008/03/03
52590,BBD Initiative Inc.,Growth,Information & Communication,September,September,,,Stock prices,2023/04/03
52610,"RESOL HOLDINGS Co.,Ltd.",Prime,Services,March,March,,,Stock prices,1931/02/27
52620,Nippon Hume Corporation,Prime,Glass & Ceramics Products,March,March,,,Stock prices,1925/10/20
52680,"ASAHI CONCRETE WORKS CO.,LTD.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1923/11/14
52690,"NIPPON CONCRETE INDUSTRIES CO.,LTD.",Prime,Glass & Ceramics Products,March,March,,,Stock prices,1948/08/05
52710,"TOYO ASANO FOUNDATION CO.,LTD.",Standard,Glass & Ceramics Products,February,February,,,Stock prices,1951/12/24
52730,"MITANI SEKISAN CO.,LTD.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1946/02/26
52770,SPANCRETE CORPORATION,Standard,Glass & Ceramics Products,March,March,,,Stock prices,1963/03/23
52790,"NIHON KOGYO CO.,LTD.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1956/08/10
52800,"Yoshicon Co.,Ltd.",Standard,Real Estate,March,March,,,Stock prices,1969/01/13
52820,GEOSTR Corporation,Standard,Glass & Ceramics Products,March,March,,,Stock prices,1970/03/05
52830,"TAKAMISAWA CO.,LTD.",Standard,Wholesale Trade,June,June,,,Stock prices,1951/03/29
52840,"YAMAU HOLDINGS CO.,LTD.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1968/02/16
52850,YAMAX Corp.,Standard,Glass & Ceramics Products,March,March,,,Stock prices,1963/10/10
52870,"ITO YOGYO CO.,LTD.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1950/12/25
52880,ASIA PILE HOLDINGS CORPORATION,Prime,Glass & Ceramics Products,March,March,,,Stock prices,2005/04/01
52900,Vertex Corporation,Standard,Glass & Ceramics Products,March,March,,,Stock prices,2018/10/01
53010,"TOKAI CARBON CO.,LTD.",Prime,Glass & Ceramics Products,December,December,,,Stock prices,1918/04/08
53020,"Nippon Carbon Co.,Ltd.",Prime,Glass & Ceramics Products,December,December,,,Stock prices,1915/12/20
53040,"SEC CARBON,LIMITED",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1934/10/23
53100,"TOYO TANSO CO.,LTD.",Prime,Glass & Ceramics Products,December,December,,,Stock prices,1947/07/31
53310,"NORITAKE CO.,LIMITED",Prime,Glass & Ceramics Products,March,March,,,Stock prices,1917/07/25
53320,TOTO LTD.,Prime,Glass & Ceramics Products,March,March,,,Stock prices,1917/05/15
53330,"NGK INSULATORS,LTD.",Prime,Glass & Ceramics Products,March,March,,,Stock prices,1919/05/05
53340,"Niterra Co.,Ltd.",Prime,Glass & Ceramics Products,March,March,,,Stock prices,1936/10/28
53370,DANTO HOLDINGS CORPORATION,Standard,Glass & Ceramics Products,December,December,,,Stock prices,1885/08/15
53410,"ASAHI EITO HOLDINGS CO.,LTD.",Standard,Glass & Ceramics Products,November,November,,,Stock prices,1950/12/20
53440,"MARUWA CO.,LTD.",Prime,Glass & Ceramics Products,March,March,,,Stock prices,1973/04/05
53510,"SHINAGAWA REFRACTORIES CO.,LTD.",Prime,Glass & Ceramics Products,March,March,,,Stock prices,1903/06/25
53520,KROSAKI HARIMA CORPORATION,Prime,Glass & Ceramics Products,March,March,,,Stock prices,1918/10/14
53550,"Nippon Crucible Co.,Ltd.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1906/12/03
53560,"MINO CERAMIC CO.,LTD.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1918/08/14
53570,"YOTAI REFRACTORIES CO.,LTD.",Prime,Glass & Ceramics Products,March,March,,,Stock prices,1936/08/01
53630,TYK CORPORATION,Standard,Glass & Ceramics Products,March,March,,,Stock prices,1947/02/05
53670,NIKKATO CORPORATION,Standard,Glass & Ceramics Products,March,March,,,Stock prices,1921/05/10
53680,"JAPAN INSULATION CO.,LTD.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1949/01/14
53800,SHINTO COMPANY LIMITED,Standard,Glass & Ceramics Products,June,June,,,Stock prices,1963/09/02
53810,Mipox Corporation,Standard,Glass & Ceramics Products,March,March,,,Stock prices,1941/12/12
53840,FUJIMI INCORPORATED,Prime,Glass & Ceramics Products,March,March,,,Stock prices,1953/03/20
53860,"TSURUYA CO.,LTD.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1968/02/01
53880,"KUNIMINE INDUSTRIES CO.,LTD.",Standard,Glass & Ceramics Products,March,March,,,Stock prices,1943/06/01
53910,A&A Material Corporation,Standard,Glass & Ceramics Products,March,March,,,Stock prices,1924/03/04
53930,NICHIAS CORPORATION,Prime,Glass & Ceramics Products,March,March,,,Stock prices,1896/04/09
53950,Riken Corundum Company Limited,Standard,Glass & Ceramics Products,December,December,,,Stock prices,1935/12/07
54010,NIPPON STEEL CORPORATION,Prime,Iron & Steel,March,March,,,Stock prices,1950/04/01
54060,"Kobe Steel,Ltd.",Prime,Iron & Steel,March,March,,,Stock prices,1911/06/28
54080,"NAKAYAMA STEEL WORKS,LTD.",Prime,Iron & Steel,March,March,,,Stock prices,1923/12/22
54100,"Godo Steel,Ltd.",Prime,Iron & Steel,March,March,,,Stock prices,1937/12/09
54110,"JFE Holdings,Inc.",Prime,Iron & Steel,March,March,,,Stock prices,2002/09/27
54230,"TOKYO STEEL MANUFACTURING CO.,LTD.",Prime,Iron & Steel,March,March,,,Stock prices,1934/11/23
54400,KYOEI STEEL LTD.,Prime,Iron & Steel,March,March,,,Stock prices,1947/08/21
54440,"YAMATO KOGYO CO.,LTD.",Prime,Iron & Steel,March,March,,,Stock prices,1944/11/08
54450,"TOKYO TEKKO CO.,LTD.",Prime,Iron & Steel,March,March,,,Stock prices,1939/06/23
54460,"HOKUETSU METAL Co.,Ltd.",Standard,Iron & Steel,March,March,,,Stock prices,1942/06/23
54490,"OSAKA STEEL CO.,LTD.",Standard,Iron & Steel,March,March,,,Stock prices,1978/05/15
54510,"Yodogawa Steel Works,Ltd.",Prime,Iron & Steel,March,March,,,Stock prices,1935/01/30
54580,TAKASAGO TEKKO K.K.,Standard,Iron & Steel,March,March,,,Stock prices,1923/11/16
54610,"Chubu Steel Plate Co.,Ltd.",Prime,Iron & Steel,March,March,,,Stock prices,1950/02/15
54630,Maruichi Steel Tube Ltd.,Prime,Iron & Steel,March,March,,,Stock prices,1947/12/18
54640,MORY INDUSTRIES INC.,Standard,Iron & Steel,March,March,,,Stock prices,1944/05/29
54710,"Daido Steel Co.,Ltd.",Prime,Iron & Steel,March,March,,,Stock prices,1950/02/01
54760,"Nippon Koshuha Steel Co.,Ltd.",Standard,Iron & Steel,March,March,,,Stock prices,1950/05/18
54800,"Nippon Yakin kogyo Co.,Ltd.",Prime,Iron & Steel,March,March,,,Stock prices,1925/08/22
54810,"Sanyo Special Steel Co.,Ltd.",Prime,Iron & Steel,March,March,,,Stock prices,1935/01/11
54820,AICHI STEEL CORPORATION,Prime,Iron & Steel,March,March,,,Stock prices,1940/03/08
54840,"Tohoku Steel Co.,Ltd.",Standard,Iron & Steel,March,March,,,Stock prices,1937/04/20
54910,"NIPPON KINZOKU CO.,LTD.",Standard,Iron & Steel,March,March,,,Stock prices,1939/12/02
55250,"Frontier Holdings Co.,Ltd.",TOKYO PRO Market,Real Estate,December,December,,,Stock prices,2007/10/04
55270,property technologies Inc.,Growth,Real Estate,November,November,,,Stock prices,2020/11/16
55280,"Frontier House Co.,Ltd.",TOKYO PRO Market,Real Estate,June,June,,,Stock prices,1999/04/08
55290,"No.1 Urban Development Co.,Ltd.",TOKYO PRO Market,Real Estate,May,May,,,Stock prices,1993/04/01
55310,"NAKAYAMA FUDOUSAN Co.,Ltd.",TOKYO PRO Market,Real Estate,January,January,,,Stock prices,2009/02/05
