Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
87460,"DAIICHI COMMODITIES CO.,LTD.",Standard,Securities & Commodity Futures,March,March,,,Stock prices,1972/11/08
87470,"YUTAKA TRUSTY SECURITIES CO.,LTD.",Standard,Securities & Commodity Futures,March,March,,,Stock prices,1957/01/17
87500,"Dai-ichi Life Holdings,Inc.",Prime,Insurance,March,March,,,Stock prices,1902/09/15
87660,"Tokio Marine Holdings,Inc.",Prime,Insurance,March,March,,,Stock prices,2002/04/02
87690,"Advantage Risk Management Co.,Ltd.",Standard,Services,March,March,,,Stock prices,1999/03/01
87710,"eGuarantee,Inc.",Prime,Other Financing Business,March,March,,,Stock prices,2000/09/08
87720,"ASAX CO.,LTD.",Standard,Other Financing Business,March,March,,,Stock prices,1969/07/09
87830,"GFA Co.,Ltd.",Standard,Other Financing Business,March,March,,,Stock prices,2002/01/08
87890,FinTech Global Incorporated,Standard,Other Financing Business,September,September,,,Stock prices,1994/12/07
87930,NEC Capital Solutions Limited,Prime,Other Financing Business,March,March,,,Stock prices,1970/09/07
87950,"T&D Holdings, Inc.",Prime,Insurance,March,March,,,Stock prices,2004/04/01
87980,"Advance Create Co.,Ltd.",Prime,Insurance,September,September,,,Stock prices,1995/10/04
88010,"Mitsui Fudosan Co.,Ltd.",Prime,Real Estate,March,March,,,Stock prices,1941/07/15
88020,"Mitsubishi Estate Company,Limited",Prime,Real Estate,March,March,,,Stock prices,1937/05/07
88030,"HEIWA REAL ESTATE CO.,LTD.",Prime,Real Estate,March,March,,,Stock prices,1947/07/01
88040,"Tokyo Tatemono Co.,Ltd.",Prime,Real Estate,December,December,,,Stock prices,1896/08/25
88180,"Keihanshin Building Co.,Ltd.",Prime,Real Estate,March,March,,,Stock prices,1948/12/24
88300,"Sumitomo Realty & Development Co.,Ltd.",Prime,Real Estate,March,March,,,Stock prices,1949/12/01
88350,TAIHEIYO KOUHATSU INCORPORATED,Standard,Wholesale Trade,March,March,,,Stock prices,1920/04/22
88360,RISE Inc.,Standard,Real Estate,March,March,,,Stock prices,1947/02/26
88410,"TOC Co.,Ltd.",Standard,Real Estate,March,March,,,Stock prices,1926/04/03
88440,"COSMOS INITIA Co.,Ltd.",Standard,Real Estate,March,March,,,Stock prices,1969/06/20
88480,LEOPALACE21 CORPORATION,Prime,Real Estate,March,March,,,Stock prices,1973/08/17
88500,STARTS CORPORATION INC.,Prime,Real Estate,March,March,,,Stock prices,1972/09/30
88600,FUJI CORPORATION LIMITED,Prime,Real Estate,March,March,,,Stock prices,1974/04/19
88640,"AIRPORT FACILITIES Co.,LTD.",Prime,Real Estate,March,March,,,Stock prices,1970/02/06
88690,Meiwa Estate Company Limited,Standard,Real Estate,March,March,,,Stock prices,1942/12/21
88710,"GOLDCREST Co.,Ltd.",Standard,Real Estate,March,March,,,Stock prices,1968/01/17
88760,"Relo Group,Inc.",Prime,Services,March,March,,,Stock prices,1967/03/15
88770,ESLEAD CORPORATION,Prime,Real Estate,March,March,,,Stock prices,1968/10/24
88810,"NISSHIN GROUP HOLDINGS Company,Limited",Prime,Real Estate,March,March,,,Stock prices,1975/03/05
88860,"WOOD FRIENDS CO.,Ltd.",Standard,Real Estate,May,May,,,Stock prices,1982/11/26
88870,CUMICA CORPORATION,Standard,Real Estate,May,May,,,Stock prices,1983/06/28
88890,"Apaman Co.,Ltd.",Standard,Real Estate,September,September,,,Stock prices,1999/10/20
88900,"Raysum Co.,Ltd.",Standard,Real Estate,March,March,,,Stock prices,1992/05/01
88910,"AMG HOLDINGS CO.,LTD.",Standard,Real Estate,March,March,,,Stock prices,1986/07/26
88920,ES-CON JAPAN Ltd.,Prime,Real Estate,March,March,,,Stock prices,1995/04/18
88940,"REVOLUTION CO.,LTD.",Standard,Real Estate,October,October,,,Stock prices,1993/07/31
88970,"MIRARTH HOLDINGS,Inc.",Prime,Real Estate,March,March,,,Stock prices,1972/09/21
88980,CENTURY21 REAL ESTATE OF JAPAN LTD.,Standard,Real Estate,March,March,,,Stock prices,1983/10/21
89040,"AVANTIA CO.,LTD.",Standard,Real Estate,August,August,,,Stock prices,1989/11/16
89050,"AEON Mall Co.,Ltd.",Prime,Real Estate,February,February,,,Stock prices,1911/11/12
89080,"MAINICHI COMNET CO.,LTD.",Standard,Real Estate,May,May,,,Stock prices,1972/10/16
89120,Area Quest Inc.,Standard,Real Estate,June,June,,,Stock prices,2000/01/12
89140,"Arealink Co.,Ltd.",Standard,Real Estate,December,December,,,Stock prices,1995/04/21
89170,"First Juken Co.,Ltd.",Standard,Real Estate,October,October,,,Stock prices,1999/07/06
89180,"LAND Co.,Ltd.",Standard,Real Estate,February,February,,,Stock prices,1996/12/12
89190,"KATITAS CO.,LTD",Prime,Real Estate,March,March,,,Stock prices,1978/09/01
89200,"TOSHO CO.,LTD.",Standard,Services,March,March,,,Stock prices,1979/03/01
89210,"C's Create Co.,Ltd",TOKYO PRO Market,Real Estate,July,July,,,Stock prices,1999/07/01
89230,TOSEI CORPORATION,Prime,Real Estate,November,November,,,Stock prices,1950/02/02
89270,"MEIHO ENTERPRISE CO.,LTD.",Standard,Real Estate,July,July,,,Stock prices,1968/09/09
89280,ANABUKI KOSAN INC.,Standard,Real Estate,June,June,,,Stock prices,1964/05/25
89290,"Aoyama Zaisan Networks Company,Limited",Standard,Real Estate,December,December,,,Stock prices,1991/09/17
89310,WADAKOHSAN CORPORATION,Standard,Real Estate,February,February,,,Stock prices,1979/09/08
89340,"Sun Frontier Fudousan Co.,Ltd.",Prime,Real Estate,March,March,,,Stock prices,1999/04/08
89350,"FJ NEXT HOLDINGS CO.,LTD.",Prime,Real Estate,March,March,,,Stock prices,1980/07/10
89380,"GLOME Holdings,Inc.",Growth,Real Estate,March,March,,,Stock prices,1987/06/17
