Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
80840,RYODEN CORPORATION,Prime,Wholesale Trade,March,March,,,Stock prices,1947/04/22
80850,"NARASAKI SANGYO CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1943/10/05
80860,NIPRO CORPORATION,Prime,Precision Instruments,March,March,,,Stock prices,1948/07/30
80880,IWATANI CORPORATION,Prime,Wholesale Trade,March,March,,,Stock prices,1945/02/02
80890,Nice Corporation,Standard,Wholesale Trade,March,March,,,Stock prices,1950/06/23
80910,"NICHIMO CO.,LTD.",Prime,Wholesale Trade,March,March,,,Stock prices,1919/08/17
80930,"Kyokuto Boeki Kaisha,Limited",Prime,Wholesale Trade,March,March,,,Stock prices,1947/11/27
80950,"Astena Holdings Co.,Ltd.",Prime,Wholesale Trade,November,November,,,Stock prices,1941/09/20
80970,"SAN-AI OBBLI CO.,LTD.",Prime,Wholesale Trade,March,March,,,Stock prices,1947/01/21
80980,"Inabata & Co.,Ltd.",Prime,Wholesale Trade,March,March,,,Stock prices,1918/06/10
81010,GSI Creos Corporation,Prime,Wholesale Trade,March,March,,,Stock prices,1931/10/31
81030,Meiwa Corporation,Prime,Wholesale Trade,March,March,,,Stock prices,1947/07/25
81040,KUWAZAWA Holdings Corporation,Standard,Wholesale Trade,March,March,,,Stock prices,1951/02/01
81050,"MARUSHO HOTTA CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1933/02/01
81070,KIMURATAN CORPORATION,Standard,Textiles & Apparels,March,March,,,Stock prices,1947/06/09
81110,GOLDWIN INC.,Prime,Textiles & Apparels,March,March,,,Stock prices,1948/04/01
81130,UNICHARM CORPORATION,Prime,Chemicals,December,December,,,Stock prices,1941/04/02
81140,"DESCENTE,LTD.",Prime,Textiles & Apparels,March,March,,,Stock prices,1949/03/18
81150,"MOONBAT Co.,Ltd.",Standard,Wholesale Trade,March,March,,,Stock prices,1941/09/06
