Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
55340,Angel Group Inc.,TOKYO PRO Market,Real Estate,August,August,,,Stock prices,2020/09/01
55350,MIGALO HOLDINGS Inc.,Prime,Real Estate,March,March,,,Stock prices,2023/10/02
55360,"Kyobashi Art Residence Co.,Ltd.",TOKYO PRO Market,Real Estate,November,November,,,Stock prices,1996/03/28
55370,"AlbaLink Co.,Ltd.",TOKYO PRO Market,Real Estate,December,December,,,Stock prices,2011/01/11
55410,"PACIFIC METALS CO.,LTD.",Prime,Iron & Steel,March,March,,,Stock prices,1949/12/01
55420,Shinhokoku Material Corp.,Standard,Iron & Steel,December,December,,,Stock prices,1949/10/20
55630,"Nippon Denko Co.,Ltd.",Prime,Iron & Steel,December,December,,,Stock prices,1934/12/31
55700,"JENOBA CO.,LTD.",Growth,Information & Communication,September,September,,,Stock prices,1997/02/21
55710,"Excite Holdings Co.,Ltd.",Standard,Information & Communication,March,March,,,Stock prices,2018/07/18
55720,Ridge-i Inc.,Growth,Information & Communication,July,July,,,Stock prices,2016/07/29
55730,"Doraku Holdings Co.,Ltd.",TOKYO PRO Market,Information & Communication,March,March,,,Stock prices,2012/04/02
55740,"ABEJA,Inc.",Growth,Information & Communication,August,August,,,Stock prices,2012/09/10
55750,Globee Inc.,Growth,Information & Communication,May,May,,,Stock prices,2014/06/12
55760,O.B.System Inc.,Standard,Information & Communication,March,March,,,Stock prices,1972/08/25
55770,Aidemy Inc.,Growth,Information & Communication,May,May,,,Stock prices,2014/06/10
55780,"AR advanced technology,Inc.",Growth,Information & Communication,August,August,,,Stock prices,2010/01/20
55800,"Prodelight Co.,Ltd.",Growth,Information & Communication,August,August,,,Stock prices,2008/06/04
55810,"Chi-technology Co.,Ltd.",TOKYO PRO Market,Information & Communication,August,August,,,Stock prices,2015/12/17
55820,GRID Inc.,Growth,Information & Communication,June,June,,,Stock prices,2009/10/06
55840,"Strawberry jams Co.,Ltd.",TOKYO PRO Market,Information & Communication,December,December,,,Stock prices,1992/01/10
55850,"EcoNaviSta,Inc.",Growth,Information & Communication,October,October,,,Stock prices,2009/11/18
55860,Laboro.AI Inc.,Growth,Information & Communication,September,September,,,Stock prices,2016/04/01
55870,Inbound Platform Corp.,Growth,Information & Communication,September,September,,,Stock prices,2015/10/01
55880,"Fast Accounting Co.,Ltd.",Growth,Information & Communication,December,December,,,Stock prices,2016/06/03
55890,"AUTOSERVER CO.,LTD.",Standard,Information & Communication,December,December,,,Stock prices,2015/11/13
55900,"NETSTARS Co.,Ltd.",Growth,Information & Communication,December,December,,,Stock prices,2009/02/12
55910,AVILEN Inc.,Growth,Information & Communication,December,December,,,Stock prices,2018/08/15
55920,"Kusurinomadoguchi,Inc.",Growth,Information & Communication,March,March,,,Stock prices,2004/09/01
55940,M.D.B Corporation,TOKYO PRO Market,Information & Communication,April,April,,,Stock prices,1991/03/29
55950,"Institute for Q-shu Pioneers of Space,Inc.",Growth,Information & Communication,May,May,,,Stock prices,2005/06/15
55960,"OutlookConsulting Co.,Ltd.",Growth,Information & Communication,March,March,,,Stock prices,2006/04/12
55970,"Blue innovation Co.,Ltd.",Growth,Information & Communication,December,December,,,Stock prices,1999/06/10
55980,"Yottavias Co.,Ltd.",TOKYO PRO Market,Information & Communication,January,January,,,Stock prices,2013/10/01
55990,S&J Corporation,Growth,Information & Communication,March,March,,,Stock prices,2008/11/07
56020,"Kurimoto,Ltd.",Prime,Iron & Steel,March,March,,,Stock prices,1934/05/10
56030,KOGI CORPORATION,Standard,Iron & Steel,March,March,,,Stock prices,1940/06/11
56090,NIPPON CHUZO K.K.,Standard,Iron & Steel,March,March,,,Stock prices,1948/12/01
56100,"Daiwa Heavy Industry Co.,Ltd.",Standard,Iron & Steel,December,December,,,Stock prices,1920/03/07
56120,NIPPON CHUTETSUKAN K.K.,Standard,Iron & Steel,March,March,,,Stock prices,1937/10/15
56160,"Ame Kaze Taiyo,Inc.",Growth,Information & Communication,December,December,,,Stock prices,2015/02/10
56170,WiLLDo Inc.,TOKYO PRO Market,Information & Communication,February,February,,,Stock prices,2001/08/13
56180,Nyle Inc.,Growth,Information & Communication,December,December,,,Stock prices,2007/01/15
56190,"MRSO.,Inc",Growth,Information & Communication,December,December,,,Stock prices,2015/02/06
56200,SPO Entertainment Inc.,TOKYO PRO Market,Information & Communication,March,March,,,Stock prices,1987/03/25
56210,"Human Technologies,Inc.",Growth,Information & Communication,March,March,,,Stock prices,2011/12/13
56220,"OneBe,Inc.",TOKYO PRO Market,Information & Communication,March,March,,,Stock prices,2006/05/16
56310,"The Japan Steel Works,Ltd.",Prime,Machinery,March,March,,,Stock prices,1950/12/11
56320,"Mitsubishi Steel Mfg.Co.,Ltd.",Prime,Iron & Steel,March,March,,,Stock prices,1949/12/01
56440,METALART CORPORATION,Standard,Iron & Steel,March,March,,,Stock prices,1943/08/06
56580,"NICHIA STEEL WORKS,LTD.",Standard,Iron & Steel,March,March,,,Stock prices,1952/06/16
56590,"Nippon Seisen Co.,Ltd.",Prime,Iron & Steel,March,March,,,Stock prices,1951/06/30
56600,"KOBELCO WIRE COMPANY,LTD.",Standard,Iron & Steel,March,March,,,Stock prices,1954/03/18
56950,"Powdertech Co.,Ltd.",Standard,Iron & Steel,March,March,,,Stock prices,1966/04/16
56970,"SANYU CO.,LTD.",Standard,Iron & Steel,March,March,,,Stock prices,1957/01/31
56980,ENVIPRO HOLDINGS Inc.,Prime,Iron & Steel,June,June,,,Stock prices,2010/05/21
56990,"IBOKIN Co.,Ltd.",Standard,Iron & Steel,December,December,,,Stock prices,1984/08/01
57020,"DAIKI ALUMINIUM INDUSTRY CO.,LTD.",Prime,Nonferrous Metals,March,March,,,Stock prices,1948/10/29
57030,"Nippon Light Metal Holdings Company,Ltd.",Prime,Nonferrous Metals,March,March,,,Stock prices,2012/10/01
57040,JMC Corporation,Growth,Nonferrous Metals,December,December,,,Stock prices,1992/12/18
57060,"Mitsui Mining and Smelting Company,Limited",Prime,Nonferrous Metals,March,March,,,Stock prices,1950/05/01
