Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
34880,XYMAX REIT Investment Corporation,Real Estate Investment Trusts (REITs),-,February,August,,,Stock prices,2017/09/14
34890,"FaithNetwork Co.,Ltd",Standard,Real Estate,March,March,,,Stock prices,2001/10/02
34900,"Azplanning Co.,Ltd.",Standard,Real Estate,February,February,,,Stock prices,1989/04/26
34910,"GAtechnologies Co.,Ltd.",Growth,Real Estate,October,October,,,Stock prices,2013/03/12
34920,Takara Leben Real Estate Investment Corporation,Real Estate Investment Trusts (REITs),-,February,August,,,Stock prices,2017/09/11
34930,Advance Logistics Investment Corporation,Real Estate Investment Trusts (REITs),-,February,August,,,Stock prices,2018/05/01
34940,"Mullion Co.,Ltd.",Standard,Real Estate,September,September,,,Stock prices,1986/11/27
34950,"Koryojyuhan Co.,Ltd.",Standard,Real Estate,September,September,,,Stock prices,1981/10/05
34960,"AZOOM CO.,LTD",Growth,Real Estate,September,September,,,Stock prices,2009/10/09
34970,LeTech Corporation,Growth,Real Estate,July,July,,,Stock prices,2000/09/07
34980,"Kasumigaseki Capital Co.,Ltd.",Prime,Real Estate,August,August,,,Stock prices,2011/09/06
35010,"Suminoe Textile Co.,Ltd.",Prime,Textiles & Apparels,May,May,,,Stock prices,1930/12/26
35120,Nippon Felt Company Limited,Standard,Textiles & Apparels,March,March,,,Stock prices,1917/06/30
35130,"ICHIKAWA CO.,LTD.",Standard,Textiles & Apparels,March,March,,,Stock prices,1949/11/21
35210,"ECONACH HOLDINGS CO.,LTD.",Standard,Services,March,March,,,Stock prices,1926/12/22
35240,"NITTO SEIMO CO.,LTD.",Standard,Textiles & Apparels,April,April,,,Stock prices,1936/02/25
35260,"ASHIMORI INDUSTRY CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1935/12/27
35290,"ATSUGI CO.,LTD.",Standard,Textiles & Apparels,March,March,,,Stock prices,1947/12/24
35360,"AXAS HOLDINGS CO.,LTD.",Standard,Retail Trade,August,August,,,Stock prices,2016/03/01
35370,"SHOEI YAKUHIN CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1960/03/17
35380,WILLPLUS Holdings Corporation,Standard,Retail Trade,June,June,,,Stock prices,2007/10/25
35390,"JM HOLDINGS CO.,LTD.",Prime,Retail Trade,July,July,,,Stock prices,1978/08/08
35400,"C.I.MEDICAL CO.,LTD.",Standard,Wholesale Trade,December,December,,,Stock prices,2000/01/05
35410,Nousouken Corporation,Growth,Wholesale Trade,August,August,,,Stock prices,2007/10/25
35420,"Vega corporation Co.,Ltd.",Growth,Retail Trade,March,March,,,Stock prices,2004/07/21
