Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
36760,"DIGITAL HEARTS HOLDINGS Co.,Ltd.",Prime,Information & Communication,March,March,,,Stock prices,2013/10/01
36780,"MEDIA DO Co.,Ltd.",Prime,Information & Communication,February,February,,,Stock prices,1999/04/01
36790,"ZIGExN Co.,Ltd.",Prime,Information & Communication,March,March,,,Stock prices,2006/06/01
36800,Hotto Link Inc.,Growth,Information & Communication,December,December,,,Stock prices,2000/06/26
36810,"V-cube,Inc.",Prime,Information & Communication,December,December,,,Stock prices,2000/02/18
36820,"Encourage Technologies Co.,Ltd.",Standard,Information & Communication,March,March,,,Stock prices,2002/11/01
36830,"CYBERLINKS CO.,LTD.",Standard,Information & Communication,December,December,,,Stock prices,1964/05/28
36860,DLE Inc.,Standard,Information & Communication,March,March,,,Stock prices,2001/12/27
36870,Fixstars Corporation,Prime,Information & Communication,September,September,,,Stock prices,2002/08/08
36880,"CARTA HOLDINGS,INC.",Prime,Information & Communication,December,December,,,Stock prices,1999/10/08
36900,YRGLM Inc.,Growth,Information & Communication,September,September,,,Stock prices,2001/06/04
36910,"DIGITAL PLUS,Inc.",Growth,Information & Communication,September,September,,,Stock prices,2005/07/29
36920,"FFRI Security,Inc.",Growth,Information & Communication,March,March,,,Stock prices,2007/07/03
36940,OPTiM CORPORATION,Prime,Information & Communication,March,March,,,Stock prices,2000/06/08
36950,"GMO Research & AI,Inc.",Growth,Information & Communication,December,December,,,Stock prices,2002/04/01
36960,CERES INC.,Prime,Information & Communication,December,December,,,Stock prices,2005/01/28
36970,SHIFT Inc.,Prime,Information & Communication,August,August,,,Stock prices,2005/09/07
36980,"CRI Middleware Co.,Ltd.",Growth,Information & Communication,September,September,,,Stock prices,2001/08/01
37080,"Tokushu Tokai Paper Co.,Ltd.",Prime,Pulp & Paper,March,March,,,Stock prices,2007/04/02
37100,"Jorudan Co.,Ltd.",Standard,Information & Communication,September,September,,,Stock prices,1979/12/03
37120,"Information Planning CO.,LTD.",Standard,Information & Communication,September,September,,,Stock prices,1986/10/01
37190,"GEXEED CO.,LTD.",Standard,Information & Communication,December,December,,,Stock prices,1964/10/06
37230,NIHON FALCOM CORPORATION,Growth,Information & Communication,September,September,,,Stock prices,2001/11/01
37260,"4Cs HD Co.,Ltd.",Standard,Retail Trade,September,September,,,Stock prices,2003/12/05
37270,Aplix Corporation,Growth,Information & Communication,December,December,,,Stock prices,1986/02/22
37330,"Software Service,Inc.",Standard,Information & Communication,October,October,,,Stock prices,1969/04/22
37380,T-Gaia Corporation,Prime,Information & Communication,March,March,,,Stock prices,1992/02/20
37410,"Systems Engineering Consultants Co.,LTD.",Prime,Information & Communication,March,March,,,Stock prices,1970/05/28
37440,SIOS Corporation,Standard,Information & Communication,December,December,,,Stock prices,1997/05/23
37470,"INTERTRADE Co.,Ltd.",Standard,Information & Communication,September,September,,,Stock prices,1999/01/25
37500,"Cytori Cell Research Institute,Inc.",Standard,Information & Communication,March,March,,,Stock prices,2004/10/01
37530,FLIGHT SOLUTIONS Inc.,Standard,Information & Communication,March,March,,,Stock prices,1988/04/06
37580,Aeria Inc.,Standard,Information & Communication,December,December,,,Stock prices,2002/10/30
