Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
20180,Global X US REIT Top 20 ETF,ETFs,-,-,-,,,Stock prices,-
20190,Global X U.S. Preferred Security ETF (Bi-monthly dividend type),ETFs,-,-,-,,,Stock prices,-
20310,NEXT NOTES HSI Leveraged ETN,ETNs,-,-,-,,,Stock prices,-
20320,NEXT NOTES HSI Short ETN,ETNs,-,-,-,,,Stock prices,-
20330,NEXT NOTES KOSPI200 Leverage ETN,ETNs,-,-,-,,,Stock prices,-
20340,NEXT NOTES F-KOSPI200 Inverse ETN,ETNs,-,-,-,,,Stock prices,-
20360,NEXT NOTES Gold Futures Double Bull ETN,ETNs,-,-,-,,,Stock prices,-
20370,NEXT NOTES Gold Futures Bear ETN,ETNs,-,-,-,,,Stock prices,-
20380,NEXT NOTES Dubai Crude Oil Futures Double Bull ETN,ETNs,-,-,-,,,Stock prices,-
20390,NEXT NOTES Dubai Crude Oil Futures Bear ETN,ETNs,-,-,-,,,Stock prices,-
20400,NEXT NOTES DJIA PR JPY-Monthly Hedged Leveraged (x2) ETN,ETNs,-,-,-,,,Stock prices,-
20410,NEXT NOTES DJIA TR JPY-Monthly Hedged Inverse (x1) ETN,ETNs,-,-,-,,,Stock prices,-
20420,NEXT NOTES Tokyo Stock Exchange Growth Market 250 Index ETN,ETNs,-,-,-,,,Stock prices,-
20430,NEXT NOTES STOXX ASEAN-Five Select Dividend 50(NR-JPY) ETN,ETNs,-,-,-,,,Stock prices,-
20440,NEXT NOTES S&P 500 Dividend Aristocrats Net Total Return Index ETN,ETNs,-,-,-,,,Stock prices,-
20450,NEXT NOTES S&P Singapore REIT Net Total Return Index ETN,ETNs,-,-,-,,,Stock prices,-
20460,NEXT NOTES Nifty PR 2x Leverage Index ETN,ETNs,-,-,-,,,Stock prices,-
20470,NEXT NOTES Nifty Total Returns(TR) Daily Inverse Index ETN,ETNs,-,-,-,,,Stock prices,-
20480,"NEXT NOTES Nomura Japan Equity High Dividend 70,Net Total Return US Dollar Hedged Index ETN",ETNs,-,-,-,,,Stock prices,-
20500,"NEXT NOTES Niche Top Mid Small Cap Japan Equity, Net Total Return ETN",ETNs,-,-,-,,,Stock prices,-
20530,"CHUBU SHIRYO CO.,LTD.",Prime,Foods,March,March,,,Stock prices,1949/03/24
20550,"NICHIWA SANGYO CO.,LTD.",Standard,Foods,March,March,,,Stock prices,1924/08/05
20600,"FEED ONE CO.,LTD.",Prime,Foods,March,March,,,Stock prices,2014/10/01
20650,NEXT NOTES S&P/JPX Dividend Aristocrats Index USD Hedged NTR ETN,ETNs,-,-,-,,,Stock prices,-
20660,NEXT NOTES Tokyo Stock Exchange REIT Net Total Return US Dollar Hedged Index ETN,ETNs,-,-,-,,,Stock prices,-
20670,"NEXT NOTES AI Companies 70,Net Total Return ETN",ETNs,-,-,-,,,Stock prices,-
20680,"NEXT NOTES Japan Equity High Beta Select 30,Net Total Return ETN",ETNs,-,-,-,,,Stock prices,-
20690,"NEXT NOTES Japan Equity Low Beta Select 50,Net Total Return ETN",ETNs,-,-,-,,,Stock prices,-
20700,Smart ESG 30 Empowering Women Net Return ETN,ETNs,-,-,-,,,Stock prices,-
20710,Smart ESG 30 Net Return ETN,ETNs,-,-,-,,,Stock prices,-
20720,Market Share Leaders Net Return ETN,ETNs,-,-,-,,,Stock prices,-
20730,Smart ESG 30 Low Carbon Risk Net Return ETN,ETNs,-,-,-,,,Stock prices,-
20800,PBR Improvement over 1x ETF,ETFs,-,-,-,,,Stock prices,-
20810,Strategic Shareholding Disposal Promotion ETF,ETFs,-,-,-,,,Stock prices,-
20820,Investor-Management Unite as One ETF,ETFs,-,-,-,,,Stock prices,-
20830,NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
20840,NEXT FUNDS Japan High Dividend Equity Active Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
20850,MAXIS High Dividend Japan Equity Actively Managed ETF,ETFs,-,-,-,,,Stock prices,-
20860,NZAM ETF S&P500 (JPY Hedged),ETFs,-,-,-,,,Stock prices,-
20870,NZAM ETF NASDAQ100 (JPY Hedged),ETFs,-,-,-,,,Stock prices,-
20880,NZAM ETF NY Dow30 (JPY Hedged),ETFs,-,-,-,,,Stock prices,-
20890,NZAM ETF DAX (JPY Hedged),ETFs,-,-,-,,,Stock prices,-
20900,NZAM ETF US Treasury 7-10Y (JPY Hedged),ETFs,-,-,-,,,Stock prices,-
20910,NZAM ETF German Government Bond 7-10Y (JPY Hedged),ETFs,-,-,-,,,Stock prices,-
20920,NZAM ETF France Government Bond 7-10Y (JPY Hedged),ETFs,-,-,-,,,Stock prices,-
20930,Listed Tracers US Government Bond 0-2years Ladder (No Currency Hedge),ETFs,-,-,-,,,Stock prices,-
20940,TSE REIT Inverse ETF,ETFs,-,-,-,,,Stock prices,-
20950,Global X S&P 500 Dividend Aristocrats ETF (JPY Hedged),ETFs,-,-,-,,,Stock prices,-
20960,Global X Office J-REIT ETF,ETFs,-,-,-,,,Stock prices,-
20970,Global X Residential J-REIT ETF,ETFs,-,-,-,,,Stock prices,-
20980,Global X Hotel & Retail J-REIT ETF,ETFs,-,-,-,,,Stock prices,-
21070,"Toyo Sugar Refining Co.,Ltd.",Standard,Foods,March,March,,,Stock prices,1949/11/29
21080,"Nippon Beet Sugar Manufacturing Co.,Ltd.",Prime,Foods,March,March,,,Stock prices,1919/06/11
21090,"Mitsui DM Sugar Holdings Co.,Ltd.",Prime,Foods,March,March,,,Stock prices,1947/09/04
21120,"Ensuiko Sugar Refining Co.,Ltd.",Standard,Foods,March,March,,,Stock prices,1950/07/01
21140,Fuji Nihon Seito Corporation,Standard,Foods,March,March,,,Stock prices,1949/07/19
21170,"WELLNEO SUGAR Co.,Ltd.",Prime,Foods,March,March,,,Stock prices,2011/10/03
21200,"LIFULL Co.,Ltd.",Prime,Services,September,September,,,Stock prices,1997/03/12
21210,"MIXI,Inc.",Prime,Services,March,March,,,Stock prices,1999/06/03
21220,"Interspace Co.,Ltd.",Standard,Services,September,September,,,Stock prices,1999/11/08
21240,"JAC Recruitment Co.,Ltd.",Prime,Services,December,December,,,Stock prices,1988/03/07
21270,Nihon M&A Center Holdings Inc.,Prime,Services,March,March,,,Stock prices,1991/04/25
21300,"Members Co.,Ltd.",Prime,Services,March,March,,,Stock prices,1995/06/26
21340,Sun Capital Management Corp.,Standard,Services,March,March,,,Stock prices,1997/05/31
21360,HIP CORPORATION,Standard,Services,March,March,,,Stock prices,1995/09/13
21380,"CROOZ,Inc.",Standard,Information & Communication,March,March,,,Stock prices,2001/05/24
21390,"CHUCO CO.,LTD.",Standard,Services,March,March,,,Stock prices,1978/05/01
21460,"UT Group Co.,Ltd.",Prime,Services,March,March,,,Stock prices,2007/04/02
21480,ITmedia Inc.,Prime,Services,March,March,,,Stock prices,1999/12/28
21500,"CareNet,Inc.",Prime,Services,December,December,,,Stock prices,1996/07/01
21520,Youji Corporation,Standard,Services,March,March,,,Stock prices,1972/09/14
21530,E・J Holdings Inc.,Prime,Services,May,May,,,Stock prices,2007/06/01
21540,Open Up Group Inc.,Prime,Services,June,June,,,Stock prices,1997/08/06
21560,SAYLOR ADVERTISING INC.,Standard,Services,March,March,,,Stock prices,1951/03/30
21570,"KOSHIDAKA HOLDINGS Co.,LTD.",Prime,Services,August,August,,,Stock prices,1967/03/31
21580,"FRONTEO,Inc.",Growth,Services,March,March,,,Stock prices,2003/08/08
21600,GNI Group Ltd.,Growth,Pharmaceutical,December,December,,,Stock prices,2001/11/20
21620,nms Holdings Corporation,Standard,Services,March,March,,,Stock prices,2003/12/18
21630,"ARTNER CO.,LTD.",Prime,Services,January,January,,,Stock prices,1962/09/18
21640,"CHIIKISHINBUNSHA CO.,LTD.",Growth,Services,August,August,,,Stock prices,1987/05/26
21680,Pasona Group Inc.,Prime,Services,May,May,,,Stock prices,2007/12/03
21690,"CDS Co.,Ltd.",Standard,Services,December,December,,,Stock prices,1980/02/01
21700,Link and Motivation Inc.,Prime,Services,December,December,,,Stock prices,2000/03/27
21730,Hakuten Corporation,Growth,Services,December,December,,,Stock prices,1970/03/02
21750,"SMS CO.,LTD.",Prime,Services,March,March,,,Stock prices,2003/04/04
21790,"SEIGAKUSHA CO.,LTD.",Standard,Services,March,March,,,Stock prices,1987/01/30
21800,SUNNY SIDE UP GROUP Inc.,Standard,Services,June,June,,,Stock prices,1985/07/01
21810,"PERSOL HOLDINGS CO.,LTD.",Prime,Services,March,March,,,Stock prices,2008/10/01
21830,"Linical Co.,Ltd.",Standard,Services,March,March,,,Stock prices,2005/06/07
21850,CMC CORPORATION,Standard,Services,September,September,,,Stock prices,1962/05/25
21860,Sobal Corporation,Standard,Services,February,February,,,Stock prices,1983/01/21
21930,Cookpad Inc.,Standard,Services,December,December,,,Stock prices,1997/10/01
21950,"AMITA HOLDINGS CO.,LTD.",Growth,Services,December,December,,,Stock prices,2010/01/04
21960,ESCRIT INC.,Standard,Services,March,March,,,Stock prices,2003/06/19
21980,IKK Holdings Inc.,Prime,Services,October,October,,,Stock prices,1995/11/01
22010,"Morinaga & Co.,Ltd.",Prime,Foods,March,March,,,Stock prices,1910/02/23
22040,"NAKAMURAYA CO.,LTD.",Standard,Foods,March,March,,,Stock prices,1923/04/01
22060,"Ezaki Glico Co.,Ltd.",Prime,Foods,December,December,,,Stock prices,1929/02/11
22070,"Meito Sangyo Co.,Ltd.",Prime,Foods,March,March,,,Stock prices,1945/02/08
22080,BOURBON CORPORATION,Standard,Foods,March,March,,,Stock prices,1924/11/20
