Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
94010,"TBS HOLDINGS,INC.",Prime,Information & Communication,March,March,,,Stock prices,1951/05/17
94040,"Nippon Television Holdings,Inc.",Prime,Information & Communication,March,March,,,Stock prices,1952/10/28
94050,ASAHI BROADCASTING GROUP HOLDINGS CORPORATION,Prime,Information & Communication,March,March,,,Stock prices,1951/03/15
94080,"BSN MEDIA HOLDINGS,INC.",Standard,Information & Communication,March,March,,,Stock prices,1952/10/14
94090,TV Asahi Holdings Corporation,Prime,Information & Communication,March,March,,,Stock prices,1957/11/01
94120,SKY Perfect JSAT Holdings Inc.,Prime,Information & Communication,March,March,,,Stock prices,2007/04/02
94130,TV TOKYO Holdings Corporation,Prime,Information & Communication,March,March,,,Stock prices,2010/10/01
94140,Nippon BS Broadcasting Corporation,Standard,Information & Communication,August,August,,,Stock prices,1999/08/23
94160,VISION INC.,Prime,Information & Communication,December,December,,,Stock prices,2001/12/04
94170,"Smartvalue Co.,Ltd.",Standard,Information & Communication,June,June,,,Stock prices,1947/06/09
94180,"U-NEXT HOLDINGS Co.,Ltd.",Prime,Information & Communication,August,August,,,Stock prices,2009/02/03
94190,"WirelessGate,Inc.",Standard,Information & Communication,December,December,,,Stock prices,2004/01/26
94210,NJ Holdings Inc.,Standard,Information & Communication,June,June,,,Stock prices,1991/12/11
94230,Forval RealStraight Inc.,Standard,Information & Communication,March,March,,,Stock prices,1995/03/16
94240,Japan Communications Inc.,Prime,Information & Communication,March,March,,,Stock prices,1996/05/24
94250,ReYuu Japan Inc.,Standard,Information & Communication,October,October,,,Stock prices,1988/06/15
94280,CROPS CORPORATION,Standard,Information & Communication,March,March,,,Stock prices,1977/11/02
94320,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,Prime,Information & Communication,March,March,,,Stock prices,1985/04/01
94330,KDDI CORPORATION,Prime,Information & Communication,March,March,,,Stock prices,1984/06/01
94340,SoftBank Corp.,Prime,Information & Communication,March,March,,,Stock prices,1986/12/09
94350,"HIKARI TSUSHIN,INC.",Prime,Information & Communication,March,March,,,Stock prices,1952/04/01
94360,OKINAWA CELLULAR TELEPHONE COMPANY,Standard,Information & Communication,March,March,,,Stock prices,1991/06/01
94380,MTI Ltd.,Prime,Information & Communication,September,September,,,Stock prices,1996/08/12
94390,M・H・GROUP LTD.,Standard,Services,June,June,,,Stock prices,1990/04/04
94410,"Bell-Park Co.,Ltd.",Standard,Information & Communication,December,December,,,Stock prices,1993/02/02
94440,"TOSHIN HOLDINGS CO.,LTD",Standard,Information & Communication,April,April,,,Stock prices,1988/04/30
94450,"FORVAL TELECOM,INC.",Standard,Information & Communication,March,March,,,Stock prices,1995/04/05
94460,"SAKAI Holdings CO.,LTD",Standard,Information & Communication,September,September,,,Stock prices,1991/03/19
94490,"GMO internet group,Inc.",Prime,Information & Communication,December,December,,,Stock prices,1976/06/25
94500,Fibergate Inc.,Prime,Information & Communication,June,June,,,Stock prices,2000/09/26
94660,Aidma Marketing Communication Corporation,Standard,Information & Communication,March,March,,,Stock prices,1979/04/05
94670,"AlphaPolis Co.,Ltd.",Growth,Information & Communication,March,March,,,Stock prices,2000/08/25
94680,KADOKAWA CORPORATION,Prime,Information & Communication,March,March,,,Stock prices,2014/10/01
