Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
98780,"SEKIDO CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,1979/03/22
98800,INNOTECH CORPORATION,Prime,Electric Appliances,March,March,,,Stock prices,1976/06/22
98820,YELLOW HAT LTD.,Prime,Wholesale Trade,March,March,,,Stock prices,1949/06/30
98850,"CHARLE CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1975/11/19
98870,"MATSUYA FOODS HOLDINGS CO.,LTD.",Prime,Retail Trade,March,March,,,Stock prices,1975/10/14
98880,"UEX,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1950/10/04
98890,JBCC Holdings Inc.,Prime,Information & Communication,March,March,,,Stock prices,1964/04/01
98900,"MAKIYA CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,1972/06/27
98950,CONSEC CORPORATION,Standard,Wholesale Trade,March,March,,,Stock prices,1967/11/06
98960,"JK Holdings Co.,Ltd.",Standard,Wholesale Trade,March,March,,,Stock prices,1949/02/15
99000,Sagami Holdings Corporation,Prime,Retail Trade,March,March,,,Stock prices,1978/02/25
99020,NICHIDEN Corporation,Prime,Wholesale Trade,March,March,,,Stock prices,1952/01/26
99030,"KANSEKI CO.,LTD",Standard,Retail Trade,February,February,,,Stock prices,1975/02/15
99040,"Verite Co.,Ltd.",Standard,Retail Trade,March,March,,,Stock prices,1948/05/13
99060,Fujii Sangyo Corporation,Standard,Wholesale Trade,March,March,,,Stock prices,1955/12/27
99080,"NIHON DENKEI CO.,LTD",Standard,Wholesale Trade,March,March,,,Stock prices,1950/09/04
99130,NIPPO LTD.,Standard,Wholesale Trade,March,March,,,Stock prices,1952/03/06
99140,"Uematsu Shokai Co.,Ltd.",Standard,Wholesale Trade,March,March,,,Stock prices,1955/06/09
99190,KANSAI FOOD MARKET LTD.,Standard,Retail Trade,March,March,,,Stock prices,1959/07/29
99270,"WATT MANN CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,1967/09/21
99280,"MIROKU JYOHO SERVICE CO.,LTD.",Prime,Information & Communication,March,March,,,Stock prices,1977/11/02
99290,"HEIWA PAPER CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1946/03/04
99300,"KITAZAWA SANGYO CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1951/03/28
99320,"SUGIMOTO & CO.,LTD.",Prime,Wholesale Trade,March,March,,,Stock prices,1938/01/10
99340,"INABA DENKISANGYO CO.,LTD.",Prime,Wholesale Trade,March,March,,,Stock prices,1949/05/27
99360,OHSHO FOOD SERVICE CORP.,Prime,Retail Trade,March,March,,,Stock prices,1974/07/03
99410,"TAIYO BUSSAN KAISHA,LTD.",Standard,Wholesale Trade,September,September,,,Stock prices,1941/04/12
99460,"MINISTOP CO.,LTD.",Prime,Retail Trade,February,February,,,Stock prices,1980/05/21
99480,"ARCS COMPANY,LIMITED",Prime,Retail Trade,February,February,,,Stock prices,1961/10/28
99500,"HACHI-BAN CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,1971/01/21
99550,"THE YONKYU CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1975/03/20
99560,"VALOR HOLDINGS CO.,LTD.",Prime,Retail Trade,March,March,,,Stock prices,1958/07/29
99590,"ASEED HOLDINGS CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,1972/11/20
99600,TOTECH CORPORATION,Prime,Wholesale Trade,March,March,,,Stock prices,1955/07/06
99620,MISUMI Group Inc.,Prime,Wholesale Trade,March,March,,,Stock prices,1963/02/23
99690,"SHOKUBUN CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,1977/12/06
99720,"ALTECH CO.,LTD.",Standard,Wholesale Trade,November,November,,,Stock prices,1976/05/15
99730,"Kozosushi Co.,LTD.",Standard,Retail Trade,December,December,,,Stock prices,1972/02/18
99740,"Belc CO.,LTD.",Prime,Retail Trade,February,February,,,Stock prices,1959/05/04
99760,"SEKICHU CO.,LTD.",Standard,Retail Trade,February,February,,,Stock prices,1952/04/03
99780,"BUNKYODO GROUP HOLDINGS CO.,LTD.",Standard,Retail Trade,August,August,,,Stock prices,1949/12/01
99790,DAISYO CORPORATION,Standard,Retail Trade,August,August,,,Stock prices,1971/11/02
99800,MRK HOLDINGS INC.,Standard,Retail Trade,March,March,,,Stock prices,1978/04/22
99820,"Takihyo Co.,Ltd.",Standard,Wholesale Trade,February,February,,,Stock prices,1912/11/15
99830,"FAST RETAILING CO.,LTD.",Prime,Retail Trade,August,August,,,Stock prices,1963/05/01
99840,SoftBank Group Corp.,Prime,Information & Communication,March,March,,,Stock prices,1981/09/03
99860,"ZAOH COMPANY,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1956/04/20
99870,"SUZUKEN CO.,LTD.",Prime,Wholesale Trade,March,March,,,Stock prices,1946/08/10
99890,"SUNDRUG CO.,LTD.",Prime,Retail Trade,March,March,,,Stock prices,1965/04/08
99900,SAC'S BAR HOLDINGS INC.,Prime,Retail Trade,March,March,,,Stock prices,1974/08/01
99910,GECOSS CORPORATION,Prime,Wholesale Trade,March,March,,,Stock prices,1946/08/01
99930,"YAMAZAWA CO.,LTD.",Standard,Retail Trade,February,February,,,Stock prices,1962/10/04
99940,YAMAYA CORPORATION,Standard,Retail Trade,March,March,,,Stock prices,1970/11/26
99960,"Satoh&Co.,Ltd.",Standard,Wholesale Trade,March,March,,,Stock prices,1950/02/22
99970,"BELLUNA CO.,LTD.",Prime,Retail Trade,March,March,,,Stock prices,1947/11/26
