Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
47180,"WASEDA ACADEMY CO.,LTD.",Prime,Services,March,March,,,Stock prices,1974/11/15
47190,ALPHA SYSTEMS INC.,Prime,Information & Communication,March,March,,,Stock prices,1972/10/11
47200,"JOHNAN ACADEMIC PREPARATORY INSTITUTE,INC.",Standard,Services,March,March,,,Stock prices,1982/09/16
47220,Future Corporation,Prime,Information & Communication,December,December,,,Stock prices,1989/11/28
47250,CAC Holdings Corporation,Prime,Information & Communication,December,December,,,Stock prices,1979/10/18
47260,SB Technology Corp.,Prime,Information & Communication,March,March,,,Stock prices,1963/10/03
47280,"TOSE CO.,LTD.",Standard,Information & Communication,August,August,,,Stock prices,1979/11/01
47320,"USS Co.,Ltd.",Prime,Services,March,March,,,Stock prices,1969/11/13
47330,"OBIC BUSINESS CONSULTANTS CO.,LTD.",Prime,Information & Communication,March,March,,,Stock prices,1980/12/12
47350,"KYOSHIN CO.,LTD.",Standard,Services,May,May,,,Stock prices,1981/04/02
47360,Nippon RAD Inc.,Standard,Information & Communication,March,March,,,Stock prices,1971/06/07
47430,ITFOR Inc.,Prime,Information & Communication,March,March,,,Stock prices,1959/05/08
47450,"Tokyo Individualized Educational Institute,INC.",Standard,Services,February,February,,,Stock prices,1965/06/17
47460,"Toukei Computer Co.,Ltd.",Standard,Information & Communication,December,December,,,Stock prices,1970/04/01
47480,KOZO KEIKAKU ENGINEERING Inc.,Standard,Information & Communication,June,June,,,Stock prices,1959/05/06
47500,"DAISAN CO.,LTD.",Standard,Services,April,April,,,Stock prices,1975/04/01
47510,"CyberAgent,Inc.",Prime,Services,September,September,,,Stock prices,1998/03/18
47520,SHOWA SYSTEM ENGINEERING CORPORATION,Standard,Information & Communication,March,March,,,Stock prices,1966/04/07
47540,TOSNET CORPORATION,Standard,Services,September,September,,,Stock prices,1977/03/30
47550,"Rakuten Group,Inc.",Prime,Services,December,December,,,Stock prices,1997/02/07
47600,"ALPHA CO.,LTD.",Standard,Services,August,August,,,Stock prices,1974/08/24
47610,SAKURA KCS Corporation,Standard,Information & Communication,March,March,,,Stock prices,1969/03/29
47620,XNET Corporation,Standard,Information & Communication,March,March,,,Stock prices,1991/06/03
47630,"CREEK & RIVER Co.,Ltd.",Prime,Services,February,February,,,Stock prices,1990/03/20
47650,"SBI Global Asset Management Co.,Ltd.",Prime,Services,March,March,,,Stock prices,1998/03/27
47660,"PA Co.,Ltd.",Standard,Services,December,December,,,Stock prices,1973/12/17
47670,"TOW CO.,LTD.",Standard,Services,June,June,,,Stock prices,1980/02/26
47680,OTSUKA CORPORATION,Prime,Information & Communication,December,December,,,Stock prices,1961/12/13
47690,"IC CO.,LTD.",Standard,Information & Communication,September,September,,,Stock prices,1978/02/20
47700,"ZUKEN ELMIC,INC.",Standard,Information & Communication,March,March,,,Stock prices,1977/04/30
47710,"F&M CO.,LTD.",Standard,Services,March,March,,,Stock prices,1990/07/30
47720,Stream Media Corporation,Growth,Information & Communication,December,December,,,Stock prices,1971/12/24
47760,"Cybozu,Inc.",Prime,Information & Communication,December,December,,,Stock prices,1997/08/08
