Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
22090,"IMURAYA GROUP CO.,LTD.",Prime,Foods,March,March,,,Stock prices,1947/04/08
22110,"Fujiya Co.,Ltd.",Prime,Foods,December,December,,,Stock prices,1938/06/30
22120,"YAMAZAKI BAKING CO.,LTD.",Prime,Foods,December,December,,,Stock prices,1948/06/21
22150,"FIRST BAKING CO.,LTD.",Standard,Foods,December,December,,,Stock prices,1947/05/16
22160,Kanro Inc.,Standard,Foods,December,December,,,Stock prices,1950/05/06
22170,Morozoff Limited,Prime,Foods,January,January,,,Stock prices,1931/07/30
22200,"KAMEDA SEIKA CO.,LTD.",Prime,Foods,March,March,,,Stock prices,1957/08/26
22210,"IWATSUKA CONFECTIONERY CO.,LTD.",Standard,Foods,March,March,,,Stock prices,1954/04/27
22220,"Kotobuki Spirits Co.,Ltd.",Prime,Foods,March,March,,,Stock prices,1952/04/25
22240,"COMO CO.,LTD.",Standard,Foods,March,March,,,Stock prices,1947/06/28
22260,KOIKE-YA Inc.,Standard,Foods,March,March,,,Stock prices,1977/01/13
22290,"CALBEE,Inc.",Prime,Foods,March,March,,,Stock prices,1949/04/30
22350,Listed Index Fund US Equity (Dow Average) No Currency Hedge,ETFs,-,-,-,,,Stock prices,-
22360,Global X S&P 500 Dividend Aristocrats ETF,ETFs,-,-,-,,,Stock prices,-
22370,iFreeETF S&P500 Leveraged (2x),ETFs,-,-,-,,,Stock prices,-
22380,iFreeETF S&P500 Inverse,ETFs,-,-,-,,,Stock prices,-
22390,Listed Index Fund S&P500 Futures Leveraged Two Times,ETFs,-,-,-,,,Stock prices,-
22400,Listed Index Fund S&P500 Futures Inverse,ETFs,-,-,-,,,Stock prices,-
22410,MAXIS NY Dow Industrial Average ETF,ETFs,-,-,-,,,Stock prices,-
22420,MAXIS NY Dow Industrial Average ETF (JPY Hedged),ETFs,-,-,-,,,Stock prices,-
22430,Global X Semiconductor ETF,ETFs,-,-,-,,,Stock prices,-
22440,Global X US Tech Top 20 ETF,ETFs,-,-,-,,,Stock prices,-
22450,NEXT FUNDS Bloomberg Germany Treasury Bond (7-10 year) Index (Yen-Hedged) Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
22460,NEXT FUNDS Bloomberg France Treasury Bond (7-10 year) Index (Yen-Hedged) Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
22470,iFreeETF S&P500 (NON HEDGED),ETFs,-,-,-,,,Stock prices,-
22480,iFreeETF S&P500 (JPY HEDGED),ETFs,-,-,-,,,Stock prices,-
22490,iFreeETF S&P500 Double Inverse (-2x),ETFs,-,-,-,,,Stock prices,-
22500,iShares MSCI Japan Climate Action ETF,ETFs,-,-,-,,,Stock prices,-
22510,NEXT FUNDS JPX JGB Futures Double Inverse Index Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
22520,Global X Morningstar US Small Mid Moat ETF,ETFs,-,-,-,,,Stock prices,-
22530,Global X SuperDividend U.S. ETF,ETFs,-,-,-,,,Stock prices,-
22540,Global X China Electric Vehicle and Battery ETF,ETFs,-,-,-,,,Stock prices,-
22550,iShares 20+ Year US Treasury Bond ETF,ETFs,-,-,-,,,Stock prices,-
22560,iShares US Aggregate Bond ETF,ETFs,-,-,-,,,Stock prices,-
22570,iShares USD Investment Grade Corporate Bond ETF,ETFs,-,-,-,,,Stock prices,-
22580,iShares USD High Yield Corporate Bond ETF,ETFs,-,-,-,,,Stock prices,-
22590,iShares 7-10 Year France Government Bond JPY Hedged ETF,ETFs,-,-,-,,,Stock prices,-
22640,"MORINAGA MILK INDUSTRY CO.,LTD.",Prime,Foods,March,March,,,Stock prices,1949/04/13
22660,"ROKKO BUTTER CO.,LTD.",Prime,Foods,December,December,,,Stock prices,1948/12/13
22670,"YAKULT HONSHA CO.,LTD.",Prime,Foods,March,March,,,Stock prices,1949/01/29
22680,"B-R 31 ICE CREAM CO.,LTD.",Standard,Foods,December,December,,,Stock prices,1973/12/19
22690,"Meiji Holdings Co.,Ltd.",Prime,Foods,March,March,,,Stock prices,2009/04/01
22700,"MEGMILK SNOW BRAND Co.,Ltd.",Prime,Foods,March,March,,,Stock prices,2009/10/01
22810,"Prima Meat Packers,Ltd.",Prime,Foods,March,March,,,Stock prices,1948/07/09
22820,NH Foods Ltd.,Prime,Foods,March,March,,,Stock prices,1949/05/30
22860,"Hayashikane Sangyo Co.,Ltd.",Standard,Foods,March,March,,,Stock prices,1941/01/15
22880,"MARUDAI FOOD CO.,LTD.",Prime,Foods,March,March,,,Stock prices,1950/02/08
22910,"FUKUTOME MEAT PACKERS,LTD.",Standard,Foods,March,March,,,Stock prices,1958/03/22
