Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
31380,"Fujisan Magazine Service Co.,Ltd.",Growth,Retail Trade,December,December,,,Stock prices,2002/07/12
31390,"Lacto Japan Co.,Ltd.",Prime,Wholesale Trade,November,November,,,Stock prices,1998/05/15
31400,"BRUNO,Inc.",Growth,Wholesale Trade,June,June,,,Stock prices,1995/11/30
31410,"WELCIA HOLDINGS CO.,LTD.",Prime,Retail Trade,February,February,,,Stock prices,2008/09/01
31430,O'will Corporation,Standard,Wholesale Trade,March,March,,,Stock prices,1986/07/12
31480,"CREATE SD HOLDINGS CO.,LTD.",Prime,Retail Trade,May,May,,,Stock prices,1998/04/13
31500,"gremz,Inc.",Prime,Wholesale Trade,March,March,,,Stock prices,2005/07/04
31510,"VITAL KSK HOLDINGS,INC.",Prime,Wholesale Trade,March,March,,,Stock prices,2009/04/01
31530,"Yashima Denki Co.,Ltd.",Prime,Wholesale Trade,March,March,,,Stock prices,1946/08/08
31540,"MEDIUS HOLDINGS Co.,Ltd.",Prime,Wholesale Trade,June,June,,,Stock prices,2009/07/01
31560,Restar Corporation,Prime,Wholesale Trade,March,March,,,Stock prices,2009/10/01
31570,GEOLIVE Group Corporation,Standard,Wholesale Trade,March,March,,,Stock prices,2009/10/01
31590,"Maruzen CHI Holdings Co.,Ltd.",Standard,Retail Trade,January,January,,,Stock prices,2010/02/01
31600,"OOMITSU CO.,LTD.",Standard,Wholesale Trade,May,May,,,Stock prices,1950/12/27
31610,AZEARTH Corporation,Standard,Wholesale Trade,April,April,,,Stock prices,1947/05/31
31660,"OCHI HOLDINGS CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1958/10/27
31670,TOKAI Holdings Corporation,Prime,Wholesale Trade,March,March,,,Stock prices,2011/04/01
31680,Kurotani Corporation,Standard,Wholesale Trade,August,August,,,Stock prices,1985/09/10
31690,"Misawa & Co.,Ltd.",Standard,Retail Trade,January,January,,,Stock prices,1959/02/26
31720,"Tea Life Co.,Ltd.",Standard,Retail Trade,July,July,,,Stock prices,1983/08/26
31730,"Cominix Co.,Ltd.",Standard,Wholesale Trade,March,March,,,Stock prices,1950/05/16
31740,"Happiness and D Co.,Ltd.",Standard,Retail Trade,August,August,,,Stock prices,1990/09/05
31750,"AP HOLDINGS CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,2001/10/29
31760,"Sanyo Trading Co.,Ltd.",Prime,Wholesale Trade,September,September,,,Stock prices,1947/05/28
31770,"ARIGATOU SERVICES COMPANY,LIMITED",Standard,Retail Trade,February,February,,,Stock prices,2000/10/31
31780,"CHIMNEY CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,2009/09/16
31790,"Syuppin Co.,Ltd.",Prime,Retail Trade,March,March,,,Stock prices,2005/08/04
31800,BEAUTY GARAGE Inc.,Prime,Wholesale Trade,April,April,,,Stock prices,2003/04/24
31810,"KAITORI OKOKU CO.,LTD.",Standard,Retail Trade,February,February,,,Stock prices,1999/10/13
31820,Oisix ra daichi Inc.,Prime,Retail Trade,March,March,,,Stock prices,1997/05/26
31830,"WIN-Partners Co.,Ltd.",Prime,Wholesale Trade,March,March,,,Stock prices,2013/04/01
31840,"International Conglomerate of Distribution for Automobile Holdings Co.,Ltd.",Standard,Retail Trade,March,March,,,Stock prices,2009/10/01
31850,"DREAM VISION CO.,LTD.",Growth,Retail Trade,March,March,,,Stock prices,1998/05/14
31860,"NEXTAGE Co.,Ltd.",Prime,Retail Trade,November,November,,,Stock prices,1998/12/25
31870,sanwacompany ltd.,Growth,Retail Trade,September,September,,,Stock prices,1979/08/22
31890,ANAP INC.,Standard,Retail Trade,August,August,,,Stock prices,1992/09/22
31900,"HOTMAN Co.,Ltd.",Standard,Retail Trade,March,March,,,Stock prices,1975/01/17
31910,"JOYFUL HONDA CO.,LTD.",Prime,Retail Trade,June,June,,,Stock prices,1975/12/15
31920,"Shirohato Co.,Ltd.",Standard,Retail Trade,February,February,,,Stock prices,1974/08/20
31930,"Eternal Hospitality Group Co.,Ltd.",Prime,Retail Trade,July,July,,,Stock prices,1986/09/19
31950,"GENERATION PASS CO.,LTD.",Growth,Retail Trade,October,October,,,Stock prices,2002/01/18
31960,"HOTLAND Co.,Ltd.",Prime,Retail Trade,December,December,,,Stock prices,1991/06/10
31970,"SKYLARK HOLDINGS CO.,LTD.",Prime,Retail Trade,December,December,,,Stock prices,2011/02/22
31980,"SFP Holdings Co.,Ltd.",Prime,Retail Trade,February,February,,,Stock prices,2010/11/17
31990,"Watahan & Co.,Ltd.",Prime,Retail Trade,March,March,,,Stock prices,1949/02/18
32010,"THE JAPAN WOOL TEXTILE CO.,LTD.",Prime,Textiles & Apparels,November,November,,,Stock prices,1896/12/03
32020,"Daitobo Co.,Ltd.",Standard,Textiles & Apparels,March,March,,,Stock prices,1896/02/27
32040,Toabo Corporation,Standard,Textiles & Apparels,December,December,,,Stock prices,2003/06/12
32050,DAIDOH LIMITED,Standard,Textiles & Apparels,March,March,,,Stock prices,1949/10/17
32210,"Yossix Holdings Co.,Ltd.",Prime,Retail Trade,March,March,,,Stock prices,1985/04/01
32220,United Super Markets Holdings Inc.,Standard,Retail Trade,February,February,,,Stock prices,2015/03/02
32230,SLD Entertainment Inc.,Standard,Retail Trade,February,February,,,Stock prices,2004/01/06
32240,"General Oyster,Inc.",Growth,Retail Trade,March,March,,,Stock prices,2000/04/03
32260,Nippon Accommodations Fund Inc.,Real Estate Investment Trusts (REITs),-,February,August,,,Stock prices,2005/10/12
32310,"Nomura Real Estate Holdings,Inc.",Prime,Real Estate,March,March,,,Stock prices,2004/06/01
32320,"Mie Kotsu Group Holdings,Inc.",Prime,Real Estate,March,March,,,Stock prices,2006/10/02
32340,MORI HILLS REIT INVESTMENT CORPORATION,Real Estate Investment Trusts (REITs),-,January,July,,,Stock prices,2006/02/02
32360,"PROPERST CO.,LTD.",Standard,Real Estate,May,May,,,Stock prices,1987/12/18
32370,"INTRANCE CO.,LTD.",Growth,Real Estate,March,March,,,Stock prices,1998/05/01
32380,"CENTRAL GENERAL DEVELOPMENT CO.,LTD.",Standard,Real Estate,March,March,,,Stock prices,1959/11/25
32410,"WILL,Co.,Ltd.",Standard,Real Estate,December,December,,,Stock prices,1995/06/12
32420,"URBANET CORPORATION CO.,LTD.",Standard,Real Estate,June,June,,,Stock prices,1997/07/07
32450,"DEAR LIFE CO.,LTD.",Prime,Real Estate,September,September,,,Stock prices,2004/11/01
32460,"KOSE R.E. Co.,Ltd.",Standard,Real Estate,January,January,,,Stock prices,1990/12/10
32480,"EARLY AGE CO.,Ltd.",Standard,Real Estate,October,October,,,Stock prices,1986/11/11
32490,Industrial & Infrastructure Fund Investment Corporation,Real Estate Investment Trusts (REITs),-,January,July,,,Stock prices,2007/03/26
32520,"JINUSHI Co.,Ltd.",Prime,Real Estate,December,December,,,Stock prices,2000/04/07
32540,PRESSANCE CORPORATION,Standard,Real Estate,September,September,,,Stock prices,1997/10/01
32610,"GRANDES,Inc.",Growth,Real Estate,December,December,,,Stock prices,2006/11/22
32640,Ascot Corp.,Standard,Real Estate,September,September,,,Stock prices,1999/04/20
32660,"Fund Creation Group Co.,Ltd.",Standard,Real Estate,November,November,,,Stock prices,2009/05/01
32670,"Phil Company,Inc.",Standard,Construction,November,November,,,Stock prices,2005/06/03
32690,Advance Residence Investment Corporation,Real Estate Investment Trusts (REITs),-,January,July,,,Stock prices,2010/03/01
32710,The Global Ltd.,Standard,Real Estate,June,June,,,Stock prices,2010/07/01
32750,HOUSECOM CORPORATION,Standard,Real Estate,March,March,,,Stock prices,1998/07/01
32760,"Japan Property Management Center Co.,Ltd.",Prime,Real Estate,December,December,,,Stock prices,2002/06/07
32770,"Sansei Landic Co.,Ltd",Standard,Real Estate,December,December,,,Stock prices,1976/02/27
32790,Activia Properties Inc.,Real Estate Investment Trusts (REITs),-,May,November,,,Stock prices,2011/09/07
32800,"STrust Co.,Ltd.",Standard,Real Estate,February,February,,,Stock prices,1999/01/20
32810,GLP J-REIT,Real Estate Investment Trusts (REITs),-,February,August,,,Stock prices,2011/09/16
32820,"Comforia Residential REIT,Inc",Real Estate Investment Trusts (REITs),-,January,July,,,Stock prices,2010/06/08
32830,"Nippon Prologis REIT,Inc.",Real Estate Investment Trusts (REITs),-,May,November,,,Stock prices,2012/11/07
32840,"Hoosiers Holdings Co.,Ltd.",Prime,Real Estate,March,March,,,Stock prices,2013/04/01
32860,TRUST Holdings Inc.,Growth,Real Estate,June,June,,,Stock prices,2013/07/01
32870,"Hoshino Resorts REIT,Inc.",Real Estate Investment Trusts (REITs),-,April,October,,,Stock prices,2013/03/06
32880,"Open House Group Co.,Ltd.",Prime,Real Estate,September,September,,,Stock prices,1996/11/22
32890,Tokyu Fudosan Holdings Corporation,Prime,Real Estate,March,March,,,Stock prices,2013/10/01
32900,"One REIT,Inc.",Real Estate Investment Trusts (REITs),-,February,August,,,Stock prices,2013/06/25
32910,"Iida Group Holdings Co.,Ltd.",Prime,Real Estate,March,March,,,Stock prices,2013/11/01
32920,AEON REIT Investment Corporation,Real Estate Investment Trusts (REITs),-,January,July,,,Stock prices,2012/11/30
32930,"AZUMA HOUSE Co.,Ltd.",Standard,Real Estate,March,March,,,Stock prices,1977/05/02
32940,"e'grand Co.,Ltd",Standard,Real Estate,March,March,,,Stock prices,1989/06/23
32950,"Hulic Reit,Inc.",Real Estate Investment Trusts (REITs),-,February,August,,,Stock prices,2013/11/07
32960,NIPPON REIT Investment Corporation,Real Estate Investment Trusts (REITs),-,June,December,,,Stock prices,2010/09/08
32970,"Toubujyuhan Co.,Ltd.",Standard,Real Estate,May,May,,,Stock prices,1984/09/27
32990,"MUGEN ESTATE Co.,Ltd.",Standard,Real Estate,December,December,,,Stock prices,1990/05/02
33000,"AMBITION DX HOLDINGS Co.,Ltd.",Growth,Real Estate,June,June,,,Stock prices,2007/09/14
33020,"TEIKOKU SEN-I Co.,Ltd.",Prime,Textiles & Apparels,December,December,,,Stock prices,1950/07/01
33060,"THE NIHON SEIMA CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1947/02/24
33090,"Sekisui House Reit,Inc.",Real Estate Investment Trusts (REITs),-,April,October,,,Stock prices,2014/09/08
