Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
39000,CrowdWorks Inc.,Growth,Information & Communication,September,September,,,Stock prices,2011/11/11
39010,"MarkLines Co.,Ltd.",Prime,Information & Communication,December,December,,,Stock prices,2001/01/04
39020,"Medical Data Vision Co.,Ltd.",Prime,Information & Communication,December,December,,,Stock prices,2003/08/20
39030,gumi Inc.,Prime,Information & Communication,April,April,,,Stock prices,2007/06/13
39040,KAYAC Inc.,Growth,Information & Communication,December,December,,,Stock prices,2005/01/21
39050,Datasection Inc.,Growth,Information & Communication,March,March,,,Stock prices,2000/07/11
39070,Silicon Studio Corp.,Growth,Information & Communication,November,November,,,Stock prices,1999/11/22
39080,Collabos Corporation,Growth,Information & Communication,March,March,,,Stock prices,2001/10/26
39090,Showcase Inc.,Standard,Information & Communication,December,December,,,Stock prices,1996/02/01
39100,MKSystem Corporation,Standard,Information & Communication,March,March,,,Stock prices,1989/02/22
39110,Aiming Inc.,Growth,Information & Communication,December,December,,,Stock prices,2011/05/12
39120,"Mobile Factory,Inc.",Standard,Information & Communication,December,December,,,Stock prices,2001/10/01
39130,"GreenBee,Inc.",Growth,Information & Communication,December,December,,,Stock prices,2007/03/16
39140,JIG-SAW INC.,Growth,Information & Communication,December,December,,,Stock prices,2001/11/01
39150,"TerraSky Co.,Ltd",Prime,Information & Communication,February,February,,,Stock prices,2006/03/09
39160,Digital Information Technologies Corporation,Prime,Information & Communication,June,June,,,Stock prices,2002/01/04
39170,"iRidge,Inc.",Growth,Information & Communication,March,March,,,Stock prices,2008/08/29
39180,"PCI Holdings,INC.",Standard,Information & Communication,September,September,,,Stock prices,2005/04/11
39200,"Internetworking and Broadband Consulting Co.,Ltd.",Standard,Information & Communication,September,September,,,Stock prices,2002/10/16
39210,NEOJAPAN Inc.,Prime,Information & Communication,January,January,,,Stock prices,1992/02/29
39220,PR TIMES Corporation,Prime,Information & Communication,February,February,,,Stock prices,2005/12/26
39230,"RAKUS Co.,Ltd.",Prime,Information & Communication,March,March,,,Stock prices,2000/11/01
39240,"R&D COMPUTER CO.,LTD.",Prime,Information & Communication,March,March,,,Stock prices,1971/01/13
39250,Double Standard Inc.,Prime,Information & Communication,March,March,,,Stock prices,2012/06/06
39260,Open Door Inc.,Prime,Information & Communication,March,March,,,Stock prices,1997/04/21
39270,Fuva Brain Limited,Growth,Information & Communication,March,March,,,Stock prices,2001/05/08
39280,Mynet Inc.,Standard,Information & Communication,December,December,,,Stock prices,2006/06/14
39290,"SOCIALWIRE CO.,LTD.",Growth,Information & Communication,March,March,,,Stock prices,2006/09/06
39300,"Hatena Co.,Ltd.",Growth,Information & Communication,July,July,,,Stock prices,2001/07/19
39310,VALUE GOLF Inc.,Growth,Information & Communication,January,January,,,Stock prices,2004/02/26
39320,Akatsuki Inc.,Prime,Information & Communication,March,March,,,Stock prices,2010/06/14
39330,"CHIeru Co.,Ltd.",Standard,Information & Communication,March,March,,,Stock prices,1997/10/01
39340,"BENEFIT JAPAN Co.,LTD.",Standard,Information & Communication,March,March,,,Stock prices,1996/06/06
39350,"Edia Co.,Ltd.",Growth,Information & Communication,February,February,,,Stock prices,1999/04/09
39360,"Globalway,Inc.",Growth,Information & Communication,March,March,,,Stock prices,2004/10/21
39370,"Ubicom Holdings,Inc.",Prime,Information & Communication,March,March,,,Stock prices,2005/12/08
39390,"Kanamic Network Co.,LTD",Prime,Information & Communication,September,September,,,Stock prices,2000/10/20
39400,"Nomura System Corporation Co,Ltd.",Standard,Information & Communication,December,December,,,Stock prices,1986/02/20
39410,"Rengo Co.,Ltd.",Prime,Pulp & Paper,March,March,,,Stock prices,1920/05/02
39430,"OHISHI SANGYO CO.,LTD.",Standard,Pulp & Paper,March,March,,,Stock prices,1947/02/03
39440,"Furubayashi Shiko Co.,Ltd.",Standard,Pulp & Paper,December,December,,,Stock prices,1947/08/21
39450,"Superbag Company,Limited",Standard,Pulp & Paper,March,March,,,Stock prices,1947/10/28
39460,"TOMOKU CO.,LTD.",Prime,Pulp & Paper,March,March,,,Stock prices,1940/12/23
39470,"Dynapac Co.,Ltd.",Standard,Pulp & Paper,December,December,,,Stock prices,1948/11/25
39480,"HIKARI BUSINESS FORM CO.,LTD.",Standard,Pulp & Paper,December,December,,,Stock prices,1968/02/21
39500,THE PACK CORPORATION,Prime,Pulp & Paper,December,December,,,Stock prices,1952/05/10
39510,"ASAHI PRINTING CO.,LTD.",Standard,Pulp & Paper,March,March,,,Stock prices,1946/05/22
39530,"OHMURA SHIGYO CO.,LTD.",Standard,Pulp & Paper,March,March,,,Stock prices,1981/06/25
39540,SHOWA PAXXS CORPORATION,Standard,Pulp & Paper,March,March,,,Stock prices,1935/12/20
39550,"IMURA & Co.,Ltd.",Standard,Pulp & Paper,January,January,,,Stock prices,1950/02/14
39580,"Sasatoku Printing Co.,Ltd.",Standard,Pulp & Paper,June,June,,,Stock prices,1950/07/13
39610,"Silver Egg Technology CO.,Ltd.",Growth,Information & Communication,December,December,,,Stock prices,1998/08/26
39620,"CHANGE Holdings,Inc.",Prime,Information & Communication,March,March,,,Stock prices,2003/04/10
39630,"Synchro Food Co.,Ltd.",Prime,Information & Communication,March,March,,,Stock prices,2003/04/24
39640,AUCNET INC.,Prime,Information & Communication,December,December,,,Stock prices,2008/03/07
39650,"Capital Asset Planning,Inc.",Standard,Information & Communication,September,September,,,Stock prices,1990/04/16
39670,"Eltes Co.,Ltd.",Growth,Information & Communication,February,February,,,Stock prices,2012/04/26
39680,"Segue Group Co.,Ltd.",Prime,Information & Communication,December,December,,,Stock prices,2014/12/01
39690,ATLED CORP.,Standard,Information & Communication,March,March,,,Stock prices,2007/04/02
39700,Innovation Inc.,Growth,Information & Communication,March,March,,,Stock prices,2000/12/14
39740,SCAT Inc.,Standard,Information & Communication,October,October,,,Stock prices,1969/12/17
39760,SHANON Inc.,Growth,Information & Communication,October,October,,,Stock prices,2000/08/25
39780,"MACROMILL,INC.",Prime,Information & Communication,June,June,,,Stock prices,2013/11/25
39790,"ULURU.CO.,LTD.",Growth,Information & Communication,March,March,,,Stock prices,2001/08/31
39810,Beaglee Inc.,Standard,Information & Communication,December,December,,,Stock prices,2013/11/28
39830,"ORO Co.,Ltd.",Prime,Information & Communication,December,December,,,Stock prices,1999/01/20
39840,"User Local,Inc.",Prime,Information & Communication,June,June,,,Stock prices,2005/09/26
