Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
79270,MUTO SEIKO CO.,Standard,Chemicals,March,March,,,Stock prices,1970/06/24
79280,"ASAHI KAGAKU KOGYO CO.,LTD.",Standard,Chemicals,August,August,,,Stock prices,1966/09/01
79310,"MIRAI INDUSTRY CO.,LTD.",Prime,Chemicals,March,March,,,Stock prices,1965/08/17
79320,"Nippi,Incorporated",Standard,Other Products,March,March,,,Stock prices,1907/04/01
79360,ASICS Corporation,Prime,Other Products,December,December,,,Stock prices,1943/05/27
79370,"TSUTSUMI JEWELRY CO.,LTD.",Standard,Other Products,March,March,,,Stock prices,1973/06/19
79380,REGAL CORPORATION,Standard,Other Products,March,March,,,Stock prices,1902/01/21
79390,"KENSOH CO.,LTD.",Standard,Other Products,March,March,,,Stock prices,1971/09/01
79400,"WAVELOCK HOLDINGS CO.,LTD.",Standard,Chemicals,March,March,,,Stock prices,1964/06/20
79420,JSP Corporation,Prime,Chemicals,March,March,,,Stock prices,1962/01/24
79430,NICHIHA CORPORATION,Prime,Glass & Ceramics Products,March,March,,,Stock prices,1950/05/30
79440,Roland Corporation,Prime,Other Products,December,December,,,Stock prices,1972/04/18
79460,KOYOSHA INC.,Standard,Other Products,March,March,,,Stock prices,1949/10/21
79470,FP CORPORATION,Prime,Chemicals,March,March,,,Stock prices,1962/07/24
79490,"KOMATSU WALL INDUSTRY CO.,LTD.",Prime,Other Products,March,March,,,Stock prices,1968/01/22
79510,YAMAHA CORPORATION,Prime,Other Products,March,March,,,Stock prices,1897/10/12
79520,"Kawai Musical Instruments Manufacturing Co.,Ltd.",Prime,Other Products,March,March,,,Stock prices,1951/05/15
79530,"KIKUSUI CHEMICAL INDUSTRIES CO.,LTD.",Standard,Other Products,March,March,,,Stock prices,1959/05/21
79550,Cleanup Corporation,Prime,Other Products,March,March,,,Stock prices,1954/10/05
79560,PIGEON CORPORATION,Prime,Other Products,December,December,,,Stock prices,1957/08/15
79570,"FUJICOPIAN CO.,LTD.",Standard,Other Products,December,December,,,Stock prices,1950/03/02
79580,TENMA CORPORATION,Prime,Chemicals,March,March,,,Stock prices,1949/08/26
79620,"KING JIM CO.,LTD.",Prime,Other Products,June,June,,,Stock prices,1948/08/31
79630,KOKEN LTD.,Standard,Other Products,December,December,,,Stock prices,1963/12/12
79650,Zojirushi Corporation,Prime,Electric Appliances,November,November,,,Stock prices,1948/12/29
79660,LINTEC Corporation,Prime,Other Products,March,March,,,Stock prices,1934/10/15
79700,"Shin-Etsu Polymer Co.,Ltd.",Prime,Chemicals,March,March,,,Stock prices,1960/09/15
79710,TOLI Corporation,Standard,Chemicals,March,March,,,Stock prices,1919/11/17
79720,ITOKI CORPORATION,Prime,Other Products,December,December,,,Stock prices,1950/04/20
79740,"Nintendo Co.,Ltd.",Prime,Other Products,March,March,,,Stock prices,1947/11/20
79750,"LIHIT LAB.,INC.",Standard,Other Products,February,February,,,Stock prices,1948/05/25
79760,"MITSUBISHI PENCIL COMPANY,LIMITED",Prime,Other Products,December,December,,,Stock prices,1925/04/17
79790,SHOFU INC.,Prime,Precision Instruments,March,March,,,Stock prices,1922/05/15
