Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
33150,"NIPPON COKE & ENGINEERING COMPANY,LIMITED",Prime,Oil & Coal Products,March,March,,,Stock prices,1969/12/01
33170,"FLYING GARDEN CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,1981/12/04
33190,Golf Digest Online Inc.,Prime,Retail Trade,December,December,,,Stock prices,2000/05/01
33200,CROSS PLUS INC.,Standard,Wholesale Trade,January,January,,,Stock prices,1953/04/08
33210,"MITACHI CO.,LTD.",Standard,Wholesale Trade,May,May,,,Stock prices,1976/07/02
33220,Alpha Group Inc.,Standard,Wholesale Trade,March,March,,,Stock prices,1997/10/08
33230,"RECOMM CO.,LTD.",Standard,Wholesale Trade,September,September,,,Stock prices,1994/09/30
33260,"RUNSYSTEM CO.,LTD.",Standard,Services,March,March,,,Stock prices,1991/11/07
33280,BEENOS Inc.,Prime,Retail Trade,September,September,,,Stock prices,1999/11/25
33290,"TOWA FOOD SERVICE CO.,LTD.",Standard,Retail Trade,April,April,,,Stock prices,1981/07/10
33330,"ASAHI CO.,LTD.",Prime,Retail Trade,February,February,,,Stock prices,1975/05/21
33410,"NIHON CHOUZAI Co.,Ltd.",Prime,Retail Trade,March,March,,,Stock prices,1980/03/07
33470,"TRUST CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,1988/12/27
33490,COSMOS Pharmaceutical Corporation,Prime,Retail Trade,May,May,,,Stock prices,1983/12/03
33500,Metaplanet Inc.,Standard,Wholesale Trade,December,December,,,Stock prices,1999/06/11
33520,"BUFFALO CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,1983/04/28
33530,"Medical Ikkou Group Co.,Ltd.",Standard,Retail Trade,February,February,,,Stock prices,1985/04/17
33550,KURIYAMA HOLDINGS CORPORATION,Standard,Wholesale Trade,December,December,,,Stock prices,1940/12/21
33580,"Y.S.FOOD CO.,LTD.",Standard,Retail Trade,March,March,,,Stock prices,1994/05/12
33590,"cotta CO.,LTD",Growth,Wholesale Trade,September,September,,,Stock prices,1998/12/25
33600,"SHIP HEALTHCARE HOLDINGS,INC.",Prime,Wholesale Trade,March,March,,,Stock prices,1992/08/27
33610,"Toell Co.,Ltd.",Standard,Retail Trade,April,April,,,Stock prices,1963/05/22
33700,"FUJITA CORPORATION Co.,Ltd.",Standard,Retail Trade,March,March,,,Stock prices,1990/02/08
33710,SOFTCREATE HOLDINGS CORP.,Prime,Information & Communication,March,March,,,Stock prices,1969/08/08
33720,"KANMONKAI Co.,Ltd.",Standard,Retail Trade,March,March,,,Stock prices,1989/05/18
33740,Naigai Tec Corporation,Standard,Wholesale Trade,March,March,,,Stock prices,1961/06/01
33750,ZOA CORPORATION,Standard,Retail Trade,March,March,,,Stock prices,1984/04/27
33770,BIKE O & COMPANY Ltd.,Standard,Wholesale Trade,November,November,,,Stock prices,1998/09/01
33820,"Seven & i Holdings Co.,Ltd.",Prime,Retail Trade,February,February,,,Stock prices,2005/09/01
33860,"COSMO BIO COMPANY,LIMITED",Standard,Wholesale Trade,December,December,,,Stock prices,1983/08/25
33870,create restaurants holdings inc.,Prime,Retail Trade,February,February,,,Stock prices,1997/04/22
33880,"MEIJI ELECTRIC INDUSTRIES CO.,LTD.",Prime,Wholesale Trade,March,March,,,Stock prices,1958/06/26
33910,TSURUHA HOLDINGS INC.,Prime,Retail Trade,May,May,,,Stock prices,1963/06/01
33920,"DELICA FOODS HOLDINGS CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,2003/04/01
33930,"Startia Holdings,Inc.",Prime,Wholesale Trade,March,March,,,Stock prices,1996/02/21
33950,"Saint Marc Holdings Co.,Ltd.",Prime,Retail Trade,March,March,,,Stock prices,1991/07/19
33960,FELISSIMO CORPORATION,Standard,Retail Trade,February,February,,,Stock prices,2002/08/01
33970,TORIDOLL Holdings Corporation,Prime,Retail Trade,March,March,,,Stock prices,1990/06/11
33990,Maruchiyo Yamaokaya Corporation,Standard,Retail Trade,January,January,,,Stock prices,1993/03/08
34010,TEIJIN LIMITED,Prime,Textiles & Apparels,March,March,,,Stock prices,1918/06/17
34020,"TORAY INDUSTRIES,INC.",Prime,Textiles & Apparels,March,March,,,Stock prices,1926/01/12
34050,"KURARAY CO.,LTD.",Prime,Chemicals,December,December,,,Stock prices,1926/06/24
34070,ASAHI KASEI CORPORATION,Prime,Chemicals,March,March,,,Stock prices,1931/05/21
34090,"KITANIHON SPINNING CO.,LTD",Standard,Textiles & Apparels,March,March,,,Stock prices,1948/10/07
34150,"TOKYO BASE Co.,Ltd.",Prime,Retail Trade,January,January,,,Stock prices,2008/12/12
34160,PIXTA Inc.,Growth,Retail Trade,December,December,,,Stock prices,2005/08/25
34170,"OHKI HEALTHCARE HOLDINGS CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,2015/10/01
34180,"BALNIBARBI Co.,Ltd.",Growth,Retail Trade,July,July,,,Stock prices,1991/09/07
34200,KFC Ltd,Standard,Metal Products,March,March,,,Stock prices,1965/03/04
34210,"INABA SEISAKUSHO Co.,Ltd.",Standard,Metal Products,July,July,,,Stock prices,1950/11/09
34220,"J-MAX Co.,Ltd.",Standard,Metal Products,March,March,,,Stock prices,1960/01/04
34230,S E Corporation,Standard,Metal Products,March,March,,,Stock prices,1980/01/18
34260,"ATOM LIVIN TECH Co.,Ltd.",Standard,Metal Products,June,June,,,Stock prices,1954/10/09
34310,"MIYAJI ENGINEERING GROUP,INC.",Prime,Metal Products,March,March,,,Stock prices,2003/09/29
34330,"TOCALO Co.,Ltd.",Prime,Metal Products,March,March,,,Stock prices,1973/06/25
34340,ALPHA Corporation,Standard,Metal Products,March,March,,,Stock prices,1938/04/27
34350,"SANKO TECHNO CO.,LTD.",Standard,Metal Products,March,March,,,Stock prices,1964/05/15
34360,SUMCO CORPORATION,Prime,Metal Products,December,December,,,Stock prices,1999/07/30
34370,"TOKUDEN CO.,LTD.",Standard,Metal Products,March,March,,,Stock prices,1950/01/26
34390,Mitsuchi Corporation,Standard,Metal Products,June,June,,,Stock prices,1963/06/17
34400,"NISSO PRONITY Co.,Ltd.",Standard,Metal Products,August,August,,,Stock prices,1983/09/20
34410,"SANNO Co.,Ltd.",Standard,Metal Products,July,July,,,Stock prices,1969/04/01
34430,"KAWADA TECHNOLOGIES,INC.",Prime,Metal Products,March,March,,,Stock prices,2009/02/27
34440,"KIKUCHI SEISAKUSHO CO.,LTD.",Standard,Metal Products,April,April,,,Stock prices,1976/03/23
34450,"RS Technologies Co.,Ltd.",Prime,Metal Products,December,December,,,Stock prices,2010/12/10
34460,JTEC CORPORATION,Prime,Metal Products,June,June,,,Stock prices,1993/12/21
34470,"Shinwa Co.,Ltd.",Standard,Metal Products,March,March,,,Stock prices,2014/08/11
34480,"SUGA STEEL Co.,LTD.",TOKYO PRO Market,Metal Products,March,March,,,Stock prices,1966/09/21
34490,TECHNOFLEX CORPORATION,Standard,Metal Products,December,December,,,Stock prices,2001/10/24
34500,"Sato Sangyo Co.,Ltd,",TOKYO PRO Market,Metal Products,February,February,,,Stock prices,1974/10/07
34510,Tosei Reit Investment Corporation,Real Estate Investment Trusts (REITs),-,April,October,,,Stock prices,2014/09/04
34520,B-Lot Company Limited,Standard,Real Estate,December,December,,,Stock prices,2008/10/10
34540,"First Brothers Co.,Ltd.",Standard,Real Estate,November,November,,,Stock prices,2004/02/04
34550,Healthcare & Medical Investment Corporation,Real Estate Investment Trusts (REITs),-,January,July,,,Stock prices,2014/12/09
34570,"&Do Holdings Co.,Ltd.",Prime,Real Estate,June,June,,,Stock prices,2009/01/05
34580,"CRE,Inc.",Prime,Real Estate,July,July,,,Stock prices,2009/12/22
34590,Samty Residential Investment Corporation,Real Estate Investment Trusts (REITs),-,January,July,,,Stock prices,2015/03/16
34610,"Palma Co.,Ltd.",Growth,Real Estate,September,September,,,Stock prices,1969/12/27
34620,"Nomura Real Estate Master Fund,Inc.",Real Estate Investment Trusts (REITs),-,February,August,,,Stock prices,2015/10/01
34630,Ichigo Hotel REIT Investment Corporation,Real Estate Investment Trusts (REITs),-,January,July,,,Stock prices,2015/07/22
34650,"KI-STAR REAL ESTATE CO.,LTD",Prime,Real Estate,March,March,,,Stock prices,1990/11/27
34660,LaSalle LOGIPORT REIT,Real Estate Investment Trusts (REITs),-,February,August,,,Stock prices,2015/10/09
34670,Agratio urban design Inc.,Standard,Real Estate,March,March,,,Stock prices,2009/04/01
34680,Star Asia Investment Corporation,Real Estate Investment Trusts (REITs),-,January,July,,,Stock prices,2015/12/01
34690,"Dualtap Co.,Ltd.",Standard,Real Estate,June,June,,,Stock prices,2006/08/04
34700,"Marimo Regional Revitalization REIT,Inc.",Real Estate Investment Trusts (REITs),-,June,December,,,Stock prices,2016/02/05
34710,Mitsui Fudosan Logistics Park Inc.,Real Estate Investment Trusts (REITs),-,January,July,,,Stock prices,2016/03/04
34720,Nippon Hotel & Residential Investment Corporation,Real Estate Investment Trusts (REITs),-,May,November,,,Stock prices,2016/03/29
34740,"G-FACTORY CO.,LTD.",Growth,Real Estate,December,December,,,Stock prices,2003/05/20
34750,"Good Com Asset Co.,Ltd.",Prime,Real Estate,October,October,,,Stock prices,2005/11/28
34760,MIRAI Corporation,Real Estate Investment Trusts (REITs),-,April,October,,,Stock prices,2015/12/04
34770,"FORLIFE Co.,Ltd.",Growth,Real Estate,March,March,,,Stock prices,1996/07/12
34790,TKP Corporation,Growth,Real Estate,February,February,,,Stock prices,2005/08/15
34800,"J.S.B.Co.,Ltd.",Prime,Real Estate,October,October,,,Stock prices,1990/07/27
34810,Mitsubishi Estate Logistics REIT Investment Corporation,Real Estate Investment Trusts (REITs),-,February,August,,,Stock prices,2016/07/14
34820,Loadstar Capital K.K.,Prime,Real Estate,December,December,,,Stock prices,2012/03/14
34830,"SHOEI CO.,LTD.",TOKYO PRO Market,Real Estate,July,July,,,Stock prices,1995/02/10
34840,"Tenpo Innovation CO.,LTD.",Prime,Real Estate,March,March,,,Stock prices,2007/11/27
34860,GLOBAL LINK MANAGEMENT INC.,Prime,Real Estate,December,December,,,Stock prices,2005/03/31
34870,"CRE Logistics REIT,Inc.",Real Estate Investment Trusts (REITs),-,June,December,,,Stock prices,2016/05/12
