Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
13010,"KYOKUYO CO.,LTD.",Prime,"Fishery, Agriculture & Forestry",March,March,,,Stock prices,1937/09/03
13050,iFreeETF TOPIX (Yearly Dividend Type),ETFs,-,-,-,,,Stock prices,-
13060,NEXT FUNDS TOPIX Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
13080,Nikko Exchange Traded Index Fund TOPIX,ETFs,-,-,-,,,Stock prices,-
13090,NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
130A0,Veritas In Silico Inc.,Growth,Pharmaceutical,December,December,,,Stock prices,2016/11/17
13110,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
13190,NEXT FUNDS Nikkei 300 Index Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
131A0,CCN Group Corporation,TOKYO PRO Market,Information & Communication,March,March,,,Stock prices,2017/01/27
13200,iFreeETF Nikkei225 (Yearly Dividend Type),ETFs,-,-,-,,,Stock prices,-
13210,NEXT FUNDS Nikkei 225 Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
13220,Listed Index Fund China A Share (Panda) E Fund CSI300,ETFs,-,-,-,,,Stock prices,-
13240,NEXT FUNDS Russian Equity Index Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
13250,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
13260,SPDR Gold Shares,ETFs,-,-,-,,,Stock prices,-
13280,NEXT FUNDS Gold Price Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
13290,iShares Core Nikkei 225 ETF,ETFs,-,-,-,,,Stock prices,-
132A0,"IN Holdings Co.,LTD.",TOKYO PRO Market,Land Transportation,October,October,,,Stock prices,2021/11/01
13300,Nikko Exchange Traded Index Fund 225,ETFs,-,-,-,,,Stock prices,-
13320,Nissui Corporation,Prime,"Fishery, Agriculture & Forestry",March,March,,,Stock prices,1943/03/31
13330,Maruha Nichiro Corporation,Prime,"Fishery, Agriculture & Forestry",March,March,,,Stock prices,1943/03/31
133A0,Global X Ultra Short-Term T-Bill ETF,ETFs,-,-,-,,,Stock prices,-
13430,NEXT FUNDS REIT INDEX ETF,ETFs,-,-,-,,,Stock prices,-
13450,Listed Index Fund J-REIT (Tokyo Stock Exchange REIT Index)Bi-Monthly Dividend Payment Type,ETFs,-,-,-,,,Stock prices,-
13460,MAXIS NIKKEI 225 ETF,ETFs,-,-,-,,,Stock prices,-
13480,MAXIS TOPIX ETF,ETFs,-,-,-,,,Stock prices,-
13490,ABF PAN ASIA BOND INDEX FUND,ETFs,-,-,-,,,Stock prices,-
134A0,"UPraise,Inc",TOKYO PRO Market,Services,December,December,,,Stock prices,2006/04/13
13560,TOPIX Bear -2x ETF,ETFs,-,-,-,,,Stock prices,-
13570,NEXT FUNDS Nikkei 225 Double Inverse Index Exchange Traded Fund,ETFs,-,-,-,,,Stock prices,-
13580,Listed Index Fund Nikkei Leveraged Index,ETFs,-,-,-,,,Stock prices,-
135A0,"VRAIN Solution,Inc.",Growth,Information & Communication,February,February,,,Stock prices,2020/03/16
13600,Nikkei225 Bear -2x ETF,ETFs,-,-,-,,,Stock prices,-
13640,iShares JPX-Nikkei 400 ETF,ETFs,-,-,-,,,Stock prices,-
13650,iFreeETF Nikkei225 Leveraged Index,ETFs,-,-,-,,,Stock prices,-
13660,iFreeETF Nikkei225 Double Inverse Index,ETFs,-,-,-,,,Stock prices,-
13670,iFreeETF TOPIX Leveraged (2x) Index,ETFs,-,-,-,,,Stock prices,-
13680,iFreeETF TOPIX Double Inverse (-2x) Index,ETFs,-,-,-,,,Stock prices,-
13690,One ETF Nikkei225,ETFs,-,-,-,,,Stock prices,-
136A0,"Sankosyoji Co.,Ltd.",TOKYO PRO Market,Construction,June,June,,,Stock prices,1971/02/01
13750,"YUKIGUNI MAITAKE CO.,LTD.",Prime,"Fishery, Agriculture & Forestry",March,March,,,Stock prices,2017/07/14
13760,"KANEKO SEEDS CO.,LTD.",Standard,"Fishery, Agriculture & Forestry",May,May,,,Stock prices,1947/06/17
13770,SAKATA SEED CORPORATION,Prime,"Fishery, Agriculture & Forestry",May,May,,,Stock prices,1942/12/11
13790,HOKUTO CORPORATION,Prime,"Fishery, Agriculture & Forestry",March,March,,,Stock prices,1964/07/22
137A0,"Cocolive,Inc.",Growth,Information & Communication,May,May,,,Stock prices,2017/01/23
13800,"AKIKAWA FOODS & FARMS CO.,LTD.",Standard,"Fishery, Agriculture & Forestry",March,March,,,Stock prices,1979/05/25
13810,"AXYZ CO.,Ltd.",Standard,"Fishery, Agriculture & Forestry",June,June,,,Stock prices,1962/11/13
13820,"HOB Co.,Ltd.",Standard,"Fishery, Agriculture & Forestry",June,June,,,Stock prices,1987/06/22
13830,"Berg Earth co.,ltd.",Standard,"Fishery, Agriculture & Forestry",October,October,,,Stock prices,2001/01/18
13840,"Hokuryo Co.,Ltd.",Standard,"Fishery, Agriculture & Forestry",March,March,,,Stock prices,1949/05/17
138A0,"Hikari Food Service Co.,Ltd.",Growth,Retail Trade,November,November,,,Stock prices,2009/12/01
13970,SMDAM NIKKEI225 ETF,ETFs,-,-,-,,,Stock prices,-
13980,SMDAM REIT Index ETF,ETFs,-,-,-,,,Stock prices,-
13990,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility,ETFs,-,-,-,,,Stock prices,-
139A0,"Higashinihon Jisho Co.,Ltd.",TOKYO PRO Market,Real Estate,August,August,,,Stock prices,2016/09/01
14010,"mbs,inc.",Growth,Construction,May,May,,,Stock prices,1997/06/20
14070,West Holdings Corporation,Standard,Construction,August,August,,,Stock prices,2006/03/01
140A0,iFreeETF 10-Year U.S. Treasury Note Futures Inverse,ETFs,-,-,-,,,Stock prices,-
14140,"SHO-BOND Holdings Co.,Ltd.",Prime,Construction,June,June,,,Stock prices,2008/01/04
14170,MIRAIT ONE Corporation,Prime,Construction,March,March,,,Stock prices,2010/10/01
14180,"INTERLIFE HOLDINGS CO.,LTD.",Standard,Construction,February,February,,,Stock prices,2010/10/05
14190,"Tama Home Co.,Ltd.",Prime,Construction,May,May,,,Stock prices,1998/06/03
141A0,Trial Holdings Inc.,Growth,Retail Trade,June,June,,,Stock prices,2015/09/18
14200,Sanyo Homes Corporation,Standard,Construction,March,March,,,Stock prices,1996/10/11
14290,"Nippon Aqua Co.,Ltd.",Prime,Construction,December,December,,,Stock prices,2004/11/29
142A0,"JINJIB Co.,Ltd.",Growth,Services,March,March,,,Stock prices,2015/03/23
14300,First-corporation Inc.,Standard,Construction,May,May,,,Stock prices,2011/06/23
14310,"Lib Work Co.,Ltd.",Growth,Construction,June,June,,,Stock prices,1997/08/01
14320,"DORYOKU Co.,Ltd.",TOKYO PRO Market,Construction,March,March,,,Stock prices,2008/12/01
14330,"BESTERRA CO.,LTD",Prime,Construction,January,January,,,Stock prices,1974/02/20
