Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
90210,West Japan Railway Company,Prime,Land Transportation,March,March,,,Stock prices,1987/04/01
90220,Central Japan Railway Company,Prime,Land Transportation,March,March,,,Stock prices,1987/04/01
90240,SEIBU HOLDINGS INC.,Prime,Land Transportation,March,March,,,Stock prices,2006/02/03
90250,"Konoike Transport Co.,Ltd.",Prime,Land Transportation,March,March,,,Stock prices,1945/05/30
90280,"ZERO CO.,LTD.",Standard,Land Transportation,June,June,,,Stock prices,1961/10/24
90290,"HIGASHI TWENTY ONE CO.,LTD.",Standard,Land Transportation,March,March,,,Stock prices,1944/12/20
90310,"Nishi-Nippon Railroad Co.,Ltd.",Prime,Land Transportation,March,March,,,Stock prices,1908/12/11
90330,"Hiroshima Electric Railway Co.,Ltd.",Standard,Land Transportation,March,March,,,Stock prices,1942/04/10
90340,"NANSO Transport Co.,Ltd.",Standard,Land Transportation,March,March,,,Stock prices,1942/11/10
90360,"TOHBU NETWORK CO.,LTD.",Standard,Land Transportation,March,March,,,Stock prices,1943/12/30
90370,"HAMAKYOREX CO.,LTD.",Prime,Land Transportation,March,March,,,Stock prices,1971/02/01
90390,"Sakai Moving Service Co.,Ltd.",Prime,Land Transportation,March,March,,,Stock prices,1956/03/26
90410,"Kintetsu Group Holdings Co.,Ltd.",Prime,Land Transportation,March,March,,,Stock prices,1944/06/01
90420,"Hankyu Hanshin Holdings,Inc.",Prime,Land Transportation,March,March,,,Stock prices,1907/10/19
90440,"Nankai Electric Railway Co.,Ltd.",Prime,Land Transportation,March,March,,,Stock prices,1925/03/26
90450,"Keihan Holdings Co.,Ltd.",Prime,Land Transportation,March,March,,,Stock prices,1949/11/25
90460,"Kobe Electric Railway Co.,Ltd.",Prime,Land Transportation,March,March,,,Stock prices,1926/03/27
90480,"Nagoya Railroad Co., Ltd.",Prime,Land Transportation,March,March,,,Stock prices,1921/06/13
90490,"Keifuku Electric Railroad Co.,Ltd.",Standard,Land Transportation,March,March,,,Stock prices,1942/03/02
90510,"SENKON LOGISTICS CO.,LTD",Standard,Land Transportation,March,March,,,Stock prices,1959/10/01
90520,"Sanyo Electric Railway Co.,Ltd.",Prime,Land Transportation,March,March,,,Stock prices,1933/06/06
