Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
83060,"Mitsubishi UFJ Financial Group,Inc.",Prime,Banks,March,March,,,Stock prices,2001/04/02
83080,"Resona Holdings, Inc.",Prime,Banks,March,March,,,Stock prices,2001/12/12
83090,"Sumitomo Mitsui Trust Holdings,Inc.",Prime,Banks,March,March,,,Stock prices,2002/02/01
83160,"Sumitomo Mitsui Financial Group,Inc.",Prime,Banks,March,March,,,Stock prices,2002/12/02
83310,"The Chiba Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1943/03/31
83340,"The Gunma Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1932/09/12
83360,"The Musashino Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1952/03/06
83370,"The Chiba Kogyo Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1952/01/18
83380,"Tsukuba Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1952/09/15
83410,"The 77 Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1932/01/31
83430,"THE AKITA BANK,LTD.",Prime,Banks,March,March,,,Stock prices,1941/10/20
83440,"The Yamagata Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1896/05/04
83450,"The Bank of Iwate,Ltd.",Prime,Banks,March,March,,,Stock prices,1932/05/02
83460,"The Toho Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1941/11/04
83490,"THE TOHOKU BANK,LTD.",Standard,Banks,March,March,,,Stock prices,1950/10/07
83540,"Fukuoka Financial Group,Inc.",Prime,Banks,March,March,,,Stock prices,2007/04/02
83580,Suruga Bank Ltd.,Prime,Banks,March,March,,,Stock prices,1895/10/19
83590,"The Hachijuni Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1931/08/01
83600,"The Yamanashi Chuo Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1941/12/01
83610,"The Ogaki Kyoritsu Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1896/03/09
83620,"The Fukui Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1899/12/19
83640,"THE SHIMIZU BANK,LTD.",Prime,Banks,March,March,,,Stock prices,1928/07/01
83650,"The Bank of Toyama,Ltd.",Standard,Banks,March,March,,,Stock prices,1954/01/16
83660,"THE SHIGA BANK,LTD.",Prime,Banks,March,March,,,Stock prices,1933/10/01
83670,"The Nanto Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1934/06/01
83680,"The Hyakugo Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1878/12/04
83700,"The Kiyo Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1895/05/02
83770,"Hokuhoku Financial Group, Inc.",Prime,Banks,March,March,,,Stock prices,2003/09/26
83810,"The San-in Godo Bank,Ltd.",Prime,Banks,March,March,,,Stock prices,1941/07/01
