Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
73790,"CIRCULATION Co.,Ltd.",Growth,Services,July,July,,,Stock prices,2014/01/06
73800,"Juroku Financial Group,Inc.",Prime,Banks,March,March,,,Stock prices,2021/10/01
73810,"Hokkoku Financial Holdings,Inc.",Prime,Banks,March,March,,,Stock prices,2021/10/01
73830,"Net Protections Holdings,Inc.",Prime,Other Financing Business,March,March,,,Stock prices,2018/07/02
73840,"Procrea Holdings,Inc.",Prime,Banks,March,March,,,Stock prices,2022/04/01
73860,"Japan Warranty Support Co.,Ltd.",Growth,Other Financing Business,September,September,,,Stock prices,2010/03/25
73880,FP Partner Inc.,Prime,Insurance,November,November,,,Stock prices,2009/12/08
73890,"Aichi Financial Group,Inc.",Prime,Banks,March,March,,,Stock prices,2022/10/03
73990,"NANSIN CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1947/10/10
74080,JAMCO CORPORATION,Prime,Transportation Equipment,March,March,,,Stock prices,1949/03/15
74090,"AeroEdge Co.,Ltd",Growth,Transportation Equipment,June,June,,,Stock prices,2015/09/16
74120,ATOM CORPORATION,Standard,Retail Trade,March,March,,,Stock prices,1972/01/14
74130,"Sokensha Co.,Ltd.",Standard,Wholesale Trade,March,March,,,Stock prices,1950/06/14
74140,"ONOKEN CO.,LTD.",Prime,Wholesale Trade,March,March,,,Stock prices,1949/08/11
74160,Haruyama Holdings Inc.,Standard,Retail Trade,March,March,,,Stock prices,1974/11/06
74170,NANYO CORPORATION,Standard,Wholesale Trade,March,March,,,Stock prices,1953/08/01
74190,"Nojima Co.,Ltd.",Prime,Retail Trade,March,March,,,Stock prices,1982/06/23
74200,"SATORI ELECTRIC CO.,LTD.",Prime,Wholesale Trade,May,May,,,Stock prices,1947/07/10
74210,"KAPPA・CREATE CO.,LTD.",Prime,Retail Trade,March,March,,,Stock prices,1981/11/21
74220,"TOHO LAMAC CO.,LTD.",Standard,Wholesale Trade,December,December,,,Stock prices,1958/07/05
74250,"HATSUHO SHOUJI CO.,LTD.",Standard,Wholesale Trade,December,December,,,Stock prices,1958/12/18
74260,Yamadai Corporation,Standard,Wholesale Trade,March,March,,,Stock prices,1964/08/05
74270,"ECHO TRADING CO.,LTD.",Standard,Wholesale Trade,February,February,,,Stock prices,1971/06/03
74330,"Hakuto Co.,Ltd.",Prime,Wholesale Trade,March,March,,,Stock prices,1953/11/07
74340,OTAKE CORPORATION,Standard,Wholesale Trade,May,May,,,Stock prices,1952/05/15
74350,"NADEX CO.,LTD.",Standard,Wholesale Trade,April,April,,,Stock prices,1950/10/03
74380,KONDOTEC INC.,Prime,Wholesale Trade,March,March,,,Stock prices,1953/01/14
74420,"NAKAYAMAFUKU CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1947/02/24
74430,"YOKOHAMA GYORUI CO.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1947/12/12
74440,"Harima-Kyowa Co.,LTD.",Standard,Wholesale Trade,March,March,,,Stock prices,1951/03/29
74450,"RIGHT ON Co.,Ltd.",Standard,Retail Trade,August,August,,,Stock prices,1980/04/01
74460,"TOHOKU CHEMICAL Co.,LTD.",Standard,Wholesale Trade,September,September,,,Stock prices,1953/02/16
74470,"NAGAILEBEN Co.,Ltd.",Prime,Wholesale Trade,August,August,,,Stock prices,1950/07/20
74500,"SUNDAY CO.,LTD.",Standard,Retail Trade,February,February,,,Stock prices,1956/09/25
74510,"Mitsubishi Shokuhin Co.,Ltd.",Standard,Wholesale Trade,March,March,,,Stock prices,1925/03/13
74530,"RYOHIN KEIKAKU CO.,LTD.",Prime,Retail Trade,August,August,,,Stock prices,1979/05/18
74550,PARIS MIKI HOLDINGS Inc.,Standard,Retail Trade,March,March,,,Stock prices,1950/01/27
74560,"MATSUDA SANGYO Co.,Ltd.",Prime,Wholesale Trade,March,March,,,Stock prices,1951/06/18
74580,"DAIICHIKOSHO CO.,LTD.",Prime,Wholesale Trade,March,March,,,Stock prices,1973/04/16
