Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
65230,PHC Holdings Corporation,Prime,Electric Appliances,March,March,,,Stock prices,2013/08/13
65240,"KOHOKU KOGYO CO.,LTD.",Standard,Electric Appliances,December,December,,,Stock prices,1959/09/30
65250,KOKUSAI ELECTRIC CORPORATION,Prime,Electric Appliances,March,March,,,Stock prices,2017/02/02
65260,Socionext Inc.,Prime,Electric Appliances,March,March,,,Stock prices,2014/09/11
65270,"WAKA MANUFACTURING CO.,LTD.",TOKYO PRO Market,Electric Appliances,September,September,,,Stock prices,1964/11/21
65320,"BayCurrent Consulting,Inc.",Prime,Services,February,February,,,Stock prices,2014/04/18
65330,Orchestra Holdings Inc.,Prime,Services,December,December,,,Stock prices,2009/06/17
65350,"i-mobile Co.,Ltd.",Prime,Services,July,July,,,Stock prices,2007/08/17
65370,"WASHHOUSE CO.,LTD.",Growth,Services,December,December,,,Stock prices,2001/11/28
65380,CareerIndex Inc.,Standard,Services,March,March,,,Stock prices,2005/11/30
65390,"MATCHING SERVICE JAPAN CO.,LTD.",Prime,Services,March,March,,,Stock prices,1990/04/26
65400,SEMBA CORPORATION,Standard,Services,December,December,,,Stock prices,1962/02/05
65420,Founder's Consultants Holdings Inc.,Standard,Services,June,June,,,Stock prices,2017/01/04
65430,NISSEN INC.,Standard,Services,February,February,,,Stock prices,1953/03/11
65440,"JAPAN ELEVATOR SERVICE HOLDINGS CO.,LTD.",Prime,Services,March,March,,,Stock prices,1994/10/03
65450,internet infinity INC.,Growth,Services,March,March,,,Stock prices,2001/05/07
65460,Fulltech Co.Ltd.,Standard,Services,December,December,,,Stock prices,1963/11/02
65470,"GREENS CO.,LTD.",Standard,Services,June,June,,,Stock prices,1964/01/08
65480,TABIKOBO Co.Ltd.,Growth,Services,June,June,,,Stock prices,1994/04/18
65490,"DM Solutions Co.,Ltd",Standard,Services,March,March,,,Stock prices,2004/09/15
