Code,Issue name,Market Segment,Industry,Fiscal year-end,Fiscal year-end.1,"Alerts, etc.",Basic information,Stock prices,Date of incorporation
72120,F-TECH INC.,Standard,Transportation Equipment,March,March,,,Stock prices,1955/11/05
72130,LECIP HOLDINGS CORPORATION,Standard,Transportation Equipment,March,March,,,Stock prices,1953/03/19
72140,GMB CORPORATION,Standard,Transportation Equipment,March,March,,,Stock prices,1962/05/08
72150,"FALTEC Co.,Ltd.",Standard,Transportation Equipment,March,March,,,Stock prices,2004/04/01
72170,"TEIN,INC.",Standard,Transportation Equipment,March,March,,,Stock prices,1966/06/02
72180,"TANAKA SEIMITSU KOGYO CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1957/10/01
72190,"HKS CO.,LTD.",Standard,Transportation Equipment,August,August,,,Stock prices,1981/06/01
72200,"MUSASHI SEIMITSU INDUSTRY CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1944/01/22
72220,"NISSAN SHATAI CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1949/04/01
72240,"ShinMaywa Industries,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1949/11/05
72260,"KYOKUTO KAIHATSU KOGYO CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1955/06/01
72280,DAYTONA CORPORATION,Standard,Transportation Equipment,December,December,,,Stock prices,1972/04/01
72290,"YUTAKA GIKEN CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1976/12/11
72310,"TOPY INDUSTRIES,LIMITED",Prime,Transportation Equipment,March,March,,,Stock prices,1934/12/19
72350,"TOKYO RADIATOR MFG.CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1938/10/15
72360,"T.RAD Co., Ltd.",Prime,Transportation Equipment,March,March,,,Stock prices,1936/10/31
72380,"AKEBONO BRAKE INDUSTRY CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1936/01/25
72390,"TACHI-S CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1954/04/07
72400,NOK CORPORATION,Prime,Transportation Equipment,March,March,,,Stock prices,1939/11/18
72410,"FUTABA INDUSTRIAL CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1935/03/25
72420,KYB Corporation,Prime,Transportation Equipment,March,March,,,Stock prices,1948/11/25
72440,"ICHIKOH INDUSTRIES,LTD.",Prime,Electric Appliances,December,December,,,Stock prices,1939/12/20
72450,"DAIDO METAL CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1939/11/04
72460,"PRESS KOGYO CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1934/06/29
72470,MIKUNI CORPORATION,Standard,Transportation Equipment,March,March,,,Stock prices,1948/10/01
72500,"PACIFIC INDUSTRIAL CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1938/04/19
72540,UNIVANCE CORPORATION,Standard,Transportation Equipment,March,March,,,Stock prices,1947/03/31
72550,SAKURAI LTD.,Standard,Transportation Equipment,March,March,,,Stock prices,1948/09/20
72560,"KASAI KOGYO CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1948/06/29
72590,AISIN CORPORATION,Prime,Transportation Equipment,March,March,,,Stock prices,1949/06/01
72610,Mazda Motor Corporation,Prime,Transportation Equipment,March,March,,,Stock prices,1920/01/30
72640,MURO CORPORATION,Standard,Transportation Equipment,March,March,,,Stock prices,1958/04/26
72650,"EIKEN INDUSTRIES CO.,LTD",Standard,Transportation Equipment,October,October,,,Stock prices,1969/02/14
72660,"Imasen Electric Industrial Co.,Ltd.",Standard,Transportation Equipment,March,March,,,Stock prices,1939/02/01
72670,"HONDA MOTOR CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1948/09/24
72680,TATSUMI Corporation,Standard,Transportation Equipment,March,March,,,Stock prices,1951/05/29
72690,SUZUKI MOTOR CORPORATION,Prime,Transportation Equipment,March,March,,,Stock prices,1920/03/15
72700,SUBARU CORPORATION,Prime,Transportation Equipment,March,March,,,Stock prices,1945/12/27
72710,YASUNAGA CORPORATION,Standard,Transportation Equipment,March,March,,,Stock prices,1949/09/19
72720,"Yamaha Motor Co.,Ltd.",Prime,Transportation Equipment,December,December,,,Stock prices,1918/05/12
72730,"IKUYO CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1947/05/10
72760,"KOITO MANUFACTURING CO.,LTD.",Prime,Electric Appliances,March,March,,,Stock prices,1936/04/01
72770,"TBK Co.,Ltd.",Standard,Transportation Equipment,March,March,,,Stock prices,1948/08/13
72780,EXEDY Corporation,Prime,Transportation Equipment,March,March,,,Stock prices,1950/07/01
72790,HI-LEX CORPORATION,Standard,Transportation Equipment,October,October,,,Stock prices,1946/11/06
72800,MITSUBA Corporation,Prime,Electric Appliances,March,March,,,Stock prices,1946/03/08
72820,"TOYODA GOSEI CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1949/06/15
72830,"AISAN INDUSTRY CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1938/12/01
72840,"MEIWA INDUSTRY CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1950/11/30
72870,"NIPPON SEIKI CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1946/12/24
72910,"NIHON PLAST CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1945/07/18
72920,MURAKAMI CORPORATION,Standard,Transportation Equipment,March,March,,,Stock prices,1948/03/27
72940,YOROZU CORPORATION,Prime,Transportation Equipment,March,March,,,Stock prices,1948/04/01
72960,"F.C.C.CO.,LTD.",Prime,Transportation Equipment,March,March,,,Stock prices,1939/06/15
72970,"CAR MATE MFG. CO.,LTD.",Standard,Transportation Equipment,March,March,,,Stock prices,1966/06/07
72990,FUJI OOZX Inc.,Standard,Transportation Equipment,March,March,,,Stock prices,1951/12/21
73050,"ARAYA INDUSTRIAL CO.,LTD.",Standard,Iron & Steel,March,March,,,Stock prices,1919/11/25
